AI-Rank-log 1617949478.7344139 load_data, checksum:dcae6c7048fe71e5229d0d62c880ea7d
AI-Rank-log 1617949478.737468 test_begin
AI-Rank-log 1617949766.1544502 sampleid:56be4db0acb8001400a502ec, same num=2
AI-Rank-log 1617949766.154643 sampleid:56be4db0acb8001400a502ed, same num=2
AI-Rank-log 1617949766.154759 sampleid:56be4db0acb8001400a502ee, same num=3
AI-Rank-log 1617949766.15486 sampleid:56be4db0acb8001400a502ef, same num=2
AI-Rank-log 1617949766.1549392 sampleid:56be4db0acb8001400a502f0, same num=1
AI-Rank-log 1617949766.1550257 sampleid:56be8e613aeaaa14008c90d1, same num=2
AI-Rank-log 1617949766.1551144 sampleid:56be8e613aeaaa14008c90d2, same num=3
AI-Rank-log 1617949766.1552079 sampleid:56be8e613aeaaa14008c90d3, same num=3
AI-Rank-log 1617949766.1552978 sampleid:56bea9923aeaaa14008c91b9, same num=2
AI-Rank-log 1617949766.155409 sampleid:56bea9923aeaaa14008c91ba, same num=3
AI-Rank-log 1617949766.1554976 sampleid:56bea9923aeaaa14008c91bb, same num=3
AI-Rank-log 1617949766.1555812 sampleid:56beace93aeaaa14008c91df, same num=2
AI-Rank-log 1617949766.1556723 sampleid:56beace93aeaaa14008c91e0, same num=2
AI-Rank-log 1617949766.1557534 sampleid:56beace93aeaaa14008c91e1, same num=2
AI-Rank-log 1617949766.1558414 sampleid:56beace93aeaaa14008c91e2, same num=3
AI-Rank-log 1617949766.1559203 sampleid:56beace93aeaaa14008c91e3, same num=1
AI-Rank-log 1617949766.1559942 sampleid:56bf10f43aeaaa14008c94fd, same num=1
AI-Rank-log 1617949766.156074 sampleid:56bf10f43aeaaa14008c94fe, same num=2
AI-Rank-log 1617949766.1561542 sampleid:56bf10f43aeaaa14008c94ff, same num=2
AI-Rank-log 1617949766.1562345 sampleid:56bf10f43aeaaa14008c9500, same num=1
AI-Rank-log 1617949766.156318 sampleid:56bf10f43aeaaa14008c9501, same num=2
AI-Rank-log 1617949766.1563914 sampleid:56d20362e7d4791d009025e8, same num=1
AI-Rank-log 1617949766.156473 sampleid:56d20362e7d4791d009025e9, same num=2
AI-Rank-log 1617949766.1565564 sampleid:56d20362e7d4791d009025ea, same num=2
AI-Rank-log 1617949766.1566374 sampleid:56d20362e7d4791d009025eb, same num=2
AI-Rank-log 1617949766.1567144 sampleid:56d600e31c85041400946eae, same num=1
AI-Rank-log 1617949766.1568017 sampleid:56d600e31c85041400946eb0, same num=2
AI-Rank-log 1617949766.1568882 sampleid:56d600e31c85041400946eb1, same num=3
AI-Rank-log 1617949766.1569712 sampleid:56d9895ddc89441400fdb50e, same num=2
AI-Rank-log 1617949766.1570525 sampleid:56d9895ddc89441400fdb510, same num=2
AI-Rank-log 1617949766.1571324 sampleid:56be4e1facb8001400a502f6, same num=2
AI-Rank-log 1617949766.1572068 sampleid:56be4e1facb8001400a502f9, same num=1
AI-Rank-log 1617949766.1572804 sampleid:56be4e1facb8001400a502fa, same num=1
AI-Rank-log 1617949766.1573653 sampleid:56beaa4a3aeaaa14008c91c2, same num=2
AI-Rank-log 1617949766.1574533 sampleid:56beaa4a3aeaaa14008c91c3, same num=3
AI-Rank-log 1617949766.157538 sampleid:56bead5a3aeaaa14008c91e9, same num=2
AI-Rank-log 1617949766.1576252 sampleid:56bead5a3aeaaa14008c91ea, same num=3
AI-Rank-log 1617949766.157712 sampleid:56bead5a3aeaaa14008c91eb, same num=3
AI-Rank-log 1617949766.1577978 sampleid:56bead5a3aeaaa14008c91ec, same num=1
AI-Rank-log 1617949766.1578798 sampleid:56bead5a3aeaaa14008c91ed, same num=2
AI-Rank-log 1617949766.1579568 sampleid:56bf159b3aeaaa14008c9507, same num=1
AI-Rank-log 1617949766.1580365 sampleid:56bf159b3aeaaa14008c9508, same num=2
AI-Rank-log 1617949766.1581132 sampleid:56bf159b3aeaaa14008c9509, same num=1
AI-Rank-log 1617949766.1581876 sampleid:56bf159b3aeaaa14008c950a, same num=1
AI-Rank-log 1617949766.1582818 sampleid:56bf159b3aeaaa14008c950b, same num=3
AI-Rank-log 1617949766.1583707 sampleid:56d2045de7d4791d009025f3, same num=2
AI-Rank-log 1617949766.158456 sampleid:56d2045de7d4791d009025f4, same num=2
AI-Rank-log 1617949766.1585298 sampleid:56d2045de7d4791d009025f5, same num=0
AI-Rank-log 1617949766.158618 sampleid:56d2045de7d4791d009025f6, same num=3
AI-Rank-log 1617949766.1586964 sampleid:56d6017d1c85041400946ebe, same num=2
AI-Rank-log 1617949766.1587877 sampleid:56d6017d1c85041400946ec1, same num=3
AI-Rank-log 1617949766.1588733 sampleid:56d6017d1c85041400946ec2, same num=2
AI-Rank-log 1617949766.158952 sampleid:56d98a59dc89441400fdb52a, same num=2
AI-Rank-log 1617949766.1590369 sampleid:56d98a59dc89441400fdb52b, same num=2
AI-Rank-log 1617949766.1591556 sampleid:56d98a59dc89441400fdb52e, same num=1
AI-Rank-log 1617949766.1592648 sampleid:56be4eafacb8001400a50302, same num=2
AI-Rank-log 1617949766.159345 sampleid:56be4eafacb8001400a50303, same num=1
AI-Rank-log 1617949766.1594224 sampleid:56be4eafacb8001400a50304, same num=1
AI-Rank-log 1617949766.1595044 sampleid:56beab833aeaaa14008c91d2, same num=2
AI-Rank-log 1617949766.1595805 sampleid:56beab833aeaaa14008c91d3, same num=1
AI-Rank-log 1617949766.1596606 sampleid:56beab833aeaaa14008c91d4, same num=1
AI-Rank-log 1617949766.1597338 sampleid:56beae423aeaaa14008c91f4, same num=1
AI-Rank-log 1617949766.1598222 sampleid:56beae423aeaaa14008c91f5, same num=2
AI-Rank-log 1617949766.159899 sampleid:56beae423aeaaa14008c91f6, same num=1
AI-Rank-log 1617949766.159973 sampleid:56beae423aeaaa14008c91f7, same num=1
AI-Rank-log 1617949766.1600575 sampleid:56bf17653aeaaa14008c9511, same num=2
AI-Rank-log 1617949766.1601353 sampleid:56bf17653aeaaa14008c9513, same num=1
AI-Rank-log 1617949766.1602082 sampleid:56bf17653aeaaa14008c9514, same num=1
AI-Rank-log 1617949766.16028 sampleid:56bf17653aeaaa14008c9515, same num=1
AI-Rank-log 1617949766.160359 sampleid:56d204ade7d4791d00902603, same num=2
AI-Rank-log 1617949766.1604314 sampleid:56d204ade7d4791d00902604, same num=1
AI-Rank-log 1617949766.1605308 sampleid:56d601e41c85041400946ece, same num=1
AI-Rank-log 1617949766.160606 sampleid:56d601e41c85041400946ecf, same num=1
AI-Rank-log 1617949766.1606839 sampleid:56d601e41c85041400946ed0, same num=1
AI-Rank-log 1617949766.1607625 sampleid:56d601e41c85041400946ed1, same num=2
AI-Rank-log 1617949766.1608524 sampleid:56d601e41c85041400946ed2, same num=1
AI-Rank-log 1617949766.160927 sampleid:56d98b33dc89441400fdb53b, same num=1
AI-Rank-log 1617949766.1610007 sampleid:56d98b33dc89441400fdb53c, same num=1
