AI-Rank-log 1617276083.1801894 load_data, checksum:xxxxxxxxxx
AI-Rank-log 1617276083.1802928 test_begin
AI-Rank-log 1617276083.1803317 warmup_begin, warmup_samples:8
AI-Rank-log 1617276095.2019842 warmup_finish
AI-Rank-log 1617276095.7470546 total_accuracy:0.4375, total_samples_cnt:16
AI-Rank-log 1617276096.2914798 total_accuracy:0.4375, total_samples_cnt:32
AI-Rank-log 1617276096.8342695 total_accuracy:0.4375, total_samples_cnt:48
AI-Rank-log 1617276097.3799915 total_accuracy:0.4375, total_samples_cnt:64
AI-Rank-log 1617276097.928885 total_accuracy:0.4375, total_samples_cnt:80
AI-Rank-log 1617276098.46919 total_accuracy:0.4166666666666667, total_samples_cnt:96
AI-Rank-log 1617276099.014603 total_accuracy:0.4375, total_samples_cnt:112
AI-Rank-log 1617276099.560614 total_accuracy:0.4375, total_samples_cnt:128
AI-Rank-log 1617276100.0985768 total_accuracy:0.4513888888888889, total_samples_cnt:144
AI-Rank-log 1617276100.641808 total_accuracy:0.4625, total_samples_cnt:160
AI-Rank-log 1617276101.1784973 total_accuracy:0.4715909090909091, total_samples_cnt:176
AI-Rank-log 1617276101.721694 total_accuracy:0.4895833333333333, total_samples_cnt:192
AI-Rank-log 1617276102.2771676 total_accuracy:0.47596153846153844, total_samples_cnt:208
AI-Rank-log 1617276102.8239357 total_accuracy:0.46875, total_samples_cnt:224
AI-Rank-log 1617276103.3674455 total_accuracy:0.4583333333333333, total_samples_cnt:240
AI-Rank-log 1617276103.9131858 total_accuracy:0.45703125, total_samples_cnt:256
AI-Rank-log 1617276104.4580345 total_accuracy:0.4632352941176471, total_samples_cnt:272
AI-Rank-log 1617276105.0237978 total_accuracy:0.4548611111111111, total_samples_cnt:288
AI-Rank-log 1617276105.5680754 total_accuracy:0.4506578947368421, total_samples_cnt:304
AI-Rank-log 1617276106.1071405 total_accuracy:0.446875, total_samples_cnt:320
AI-Rank-log 1617276106.6809902 total_accuracy:0.44345238095238093, total_samples_cnt:336
AI-Rank-log 1617276107.2342288 total_accuracy:0.44886363636363635, total_samples_cnt:352
AI-Rank-log 1617276107.7839723 total_accuracy:0.45652173913043476, total_samples_cnt:368
AI-Rank-log 1617276108.3301396 total_accuracy:0.4635416666666667, total_samples_cnt:384
AI-Rank-log 1617276108.8712504 total_accuracy:0.465, total_samples_cnt:400
AI-Rank-log 1617276109.418906 total_accuracy:0.4639423076923077, total_samples_cnt:416
AI-Rank-log 1617276109.967662 total_accuracy:0.46064814814814814, total_samples_cnt:432
AI-Rank-log 1617276110.5093257 total_accuracy:0.45982142857142855, total_samples_cnt:448
AI-Rank-log 1617276111.0512578 total_accuracy:0.45689655172413796, total_samples_cnt:464
AI-Rank-log 1617276111.5951104 total_accuracy:0.45416666666666666, total_samples_cnt:480
AI-Rank-log 1617276112.1365356 total_accuracy:0.45161290322580644, total_samples_cnt:496
AI-Rank-log 1617276112.6766958 total_accuracy:0.4453125, total_samples_cnt:512
AI-Rank-log 1617276113.230095 total_accuracy:0.44886363636363635, total_samples_cnt:528
AI-Rank-log 1617276113.7716668 total_accuracy:0.45036764705882354, total_samples_cnt:544
AI-Rank-log 1617276114.314984 total_accuracy:0.45714285714285713, total_samples_cnt:560
AI-Rank-log 1617276114.8566804 total_accuracy:0.4583333333333333, total_samples_cnt:576
AI-Rank-log 1617276115.4255629 total_accuracy:0.46283783783783783, total_samples_cnt:592
AI-Rank-log 1617276115.9630277 total_accuracy:0.46710526315789475, total_samples_cnt:608
AI-Rank-log 1617276116.503055 total_accuracy:0.46634615384615385, total_samples_cnt:624
AI-Rank-log 1617276117.0405335 total_accuracy:0.4625, total_samples_cnt:640
AI-Rank-log 1617276117.5774243 total_accuracy:0.4649390243902439, total_samples_cnt:656
AI-Rank-log 1617276118.1302595 total_accuracy:0.4642857142857143, total_samples_cnt:672
AI-Rank-log 1617276118.6613889 total_accuracy:0.45930232558139533, total_samples_cnt:688
AI-Rank-log 1617276119.1996164 total_accuracy:0.4659090909090909, total_samples_cnt:704
AI-Rank-log 1617276119.7323663 total_accuracy:0.46805555555555556, total_samples_cnt:720
AI-Rank-log 1617276120.2673676 total_accuracy:0.47146739130434784, total_samples_cnt:736
AI-Rank-log 1617276120.8026187 total_accuracy:0.46808510638297873, total_samples_cnt:752
AI-Rank-log 1617276121.3410127 total_accuracy:0.46875, total_samples_cnt:768
AI-Rank-log 1617276121.871283 total_accuracy:0.46811224489795916, total_samples_cnt:784
AI-Rank-log 1617276122.4044147 total_accuracy:0.4675, total_samples_cnt:800
AI-Rank-log 1617276122.949852 total_accuracy:0.46691176470588236, total_samples_cnt:816
AI-Rank-log 1617276123.4972079 total_accuracy:0.4639423076923077, total_samples_cnt:832
AI-Rank-log 1617276124.032511 total_accuracy:0.46462264150943394, total_samples_cnt:848
AI-Rank-log 1617276124.5837064 total_accuracy:0.46064814814814814, total_samples_cnt:864
AI-Rank-log 1617276125.1142027 total_accuracy:0.4610091743119266, total_samples_cnt:872
AI-Rank-log 1617276125.157534 avg_ips:29.10211214461991samples/sec
AI-Rank-log 1617276125.157592 test_end
