AI-Rank-log 1617000154.2617233 load_data, checksum:xxx
AI-Rank-log 1617000154.2619126 test_begin
AI-Rank-log 1617000154.3000867 warmup_begin, warmup_samples:16
AI-Rank-log 1617000155.9254239 warmup_finish
AI-Rank-log 1617000156.4839067 total_accuracy:0.0, total_samples_cnt:32
AI-Rank-log 1617000156.5707972 total_accuracy:0.0, total_samples_cnt:64
AI-Rank-log 1617000156.6825898 total_accuracy:0.0, total_samples_cnt:96
AI-Rank-log 1617000156.7838075 total_accuracy:0.0, total_samples_cnt:128
AI-Rank-log 1617000157.0796514 total_accuracy:0.0, total_samples_cnt:160
AI-Rank-log 1617000157.18126 total_accuracy:0.0, total_samples_cnt:192
AI-Rank-log 1617000157.3030477 total_accuracy:0.0, total_samples_cnt:224
AI-Rank-log 1617000157.405633 total_accuracy:0.0, total_samples_cnt:256
AI-Rank-log 1617000157.5619056 total_accuracy:0.0, total_samples_cnt:288
AI-Rank-log 1617000157.7072105 total_accuracy:0.0, total_samples_cnt:320
AI-Rank-log 1617000157.8245244 total_accuracy:0.0, total_samples_cnt:352
AI-Rank-log 1617000157.981723 total_accuracy:0.0, total_samples_cnt:384
AI-Rank-log 1617000158.101416 total_accuracy:0.0, total_samples_cnt:416
AI-Rank-log 1617000158.2567995 total_accuracy:0.0, total_samples_cnt:448
AI-Rank-log 1617000158.3652236 total_accuracy:0.0, total_samples_cnt:480
AI-Rank-log 1617000158.5138755 total_accuracy:0.0, total_samples_cnt:512
AI-Rank-log 1617000158.6160288 total_accuracy:0.0, total_samples_cnt:544
AI-Rank-log 1617000158.7671015 total_accuracy:0.0, total_samples_cnt:576
AI-Rank-log 1617000158.869783 total_accuracy:0.0, total_samples_cnt:608
AI-Rank-log 1617000159.0236738 total_accuracy:0.0, total_samples_cnt:640
AI-Rank-log 1617000159.1260955 total_accuracy:0.0, total_samples_cnt:672
AI-Rank-log 1617000159.2844748 total_accuracy:0.0, total_samples_cnt:704
AI-Rank-log 1617000159.3859859 total_accuracy:0.0, total_samples_cnt:736
AI-Rank-log 1617000159.5364444 total_accuracy:0.0, total_samples_cnt:768
AI-Rank-log 1617000159.6393843 total_accuracy:0.0, total_samples_cnt:800
AI-Rank-log 1617000159.7898388 total_accuracy:0.0, total_samples_cnt:832
AI-Rank-log 1617000159.8915243 total_accuracy:0.0, total_samples_cnt:864
AI-Rank-log 1617000160.0495799 total_accuracy:0.0, total_samples_cnt:896
AI-Rank-log 1617000160.151267 total_accuracy:0.0, total_samples_cnt:928
AI-Rank-log 1617000160.329298 total_accuracy:0.0, total_samples_cnt:960
AI-Rank-log 1617000160.4314842 total_accuracy:0.0, total_samples_cnt:992
AI-Rank-log 1617000160.580654 total_accuracy:0.0, total_samples_cnt:1024
AI-Rank-log 1617000160.6832771 total_accuracy:0.0, total_samples_cnt:1056
AI-Rank-log 1617000160.8143218 total_accuracy:0.0, total_samples_cnt:1088
AI-Rank-log 1617000160.9168339 total_accuracy:0.0, total_samples_cnt:1120
AI-Rank-log 1617000161.0601547 total_accuracy:0.0, total_samples_cnt:1152
AI-Rank-log 1617000161.1621237 total_accuracy:0.0, total_samples_cnt:1184
AI-Rank-log 1617000161.3231776 total_accuracy:0.0, total_samples_cnt:1216
AI-Rank-log 1617000161.4320443 total_accuracy:0.0, total_samples_cnt:1248
AI-Rank-log 1617000161.7209373 total_accuracy:0.0, total_samples_cnt:1280
AI-Rank-log 1617000161.808117 total_accuracy:0.0, total_samples_cnt:1312
AI-Rank-log 1617000162.1711462 total_accuracy:0.0, total_samples_cnt:1344
AI-Rank-log 1617000162.257102 total_accuracy:0.0, total_samples_cnt:1376
AI-Rank-log 1617000162.4280713 total_accuracy:0.0, total_samples_cnt:1408
AI-Rank-log 1617000162.5142775 total_accuracy:0.0, total_samples_cnt:1440
AI-Rank-log 1617000162.6743746 total_accuracy:0.0, total_samples_cnt:1472
AI-Rank-log 1617000162.7759695 total_accuracy:0.0, total_samples_cnt:1504
AI-Rank-log 1617000162.9296927 total_accuracy:0.0, total_samples_cnt:1536
AI-Rank-log 1617000163.0323334 total_accuracy:0.0, total_samples_cnt:1568
AI-Rank-log 1617000163.1623802 total_accuracy:0.0, total_samples_cnt:1600
AI-Rank-log 1617000163.2486863 total_accuracy:0.0, total_samples_cnt:1632
AI-Rank-log 1617000163.4935372 total_accuracy:0.0, total_samples_cnt:1664
AI-Rank-log 1617000163.5805843 total_accuracy:0.0, total_samples_cnt:1696
AI-Rank-log 1617000163.7635353 total_accuracy:0.0, total_samples_cnt:1728
AI-Rank-log 1617000163.8507996 total_accuracy:0.0, total_samples_cnt:1760
AI-Rank-log 1617000164.192051 total_accuracy:0.0, total_samples_cnt:1792
AI-Rank-log 1617000164.27907 total_accuracy:0.0, total_samples_cnt:1824
AI-Rank-log 1617000164.5671322 total_accuracy:0.0, total_samples_cnt:1856
AI-Rank-log 1617000164.654516 total_accuracy:0.0, total_samples_cnt:1888
AI-Rank-log 1617000164.7908978 total_accuracy:0.0, total_samples_cnt:1920
AI-Rank-log 1617000164.877569 total_accuracy:0.0, total_samples_cnt:1952
AI-Rank-log 1617000165.0393827 total_accuracy:0.0, total_samples_cnt:1984
AI-Rank-log 1617000165.1268303 total_accuracy:0.0, total_samples_cnt:2016
AI-Rank-log 1617000165.2749271 total_accuracy:0.0, total_samples_cnt:2048
AI-Rank-log 1617000165.3611965 total_accuracy:0.0, total_samples_cnt:2080
AI-Rank-log 1617000165.5280392 total_accuracy:0.0, total_samples_cnt:2112
AI-Rank-log 1617000165.638361 total_accuracy:0.0, total_samples_cnt:2144
AI-Rank-log 1617000165.7807264 total_accuracy:0.0, total_samples_cnt:2176
AI-Rank-log 1617000165.8848507 total_accuracy:0.0, total_samples_cnt:2208
AI-Rank-log 1617000166.0327148 total_accuracy:0.0, total_samples_cnt:2240
AI-Rank-log 1617000166.1500037 total_accuracy:0.0, total_samples_cnt:2272
AI-Rank-log 1617000166.2925432 total_accuracy:0.0, total_samples_cnt:2304
AI-Rank-log 1617000166.4582634 total_accuracy:0.0, total_samples_cnt:2336
AI-Rank-log 1617000166.56048 total_accuracy:0.0, total_samples_cnt:2368
AI-Rank-log 1617000166.6732671 total_accuracy:0.0, total_samples_cnt:2400
AI-Rank-log 1617000166.8578794 total_accuracy:0.0, total_samples_cnt:2432
AI-Rank-log 1617000166.9606285 total_accuracy:0.0, total_samples_cnt:2464
AI-Rank-log 1617000167.1128023 total_accuracy:0.0, total_samples_cnt:2496
AI-Rank-log 1617000167.2152052 total_accuracy:0.0, total_samples_cnt:2528
AI-Rank-log 1617000167.3703194 total_accuracy:0.0, total_samples_cnt:2560
AI-Rank-log 1617000167.4731114 total_accuracy:0.0, total_samples_cnt:2592
AI-Rank-log 1617000167.6289506 total_accuracy:0.0, total_samples_cnt:2624
AI-Rank-log 1617000167.729382 total_accuracy:0.0, total_samples_cnt:2656
AI-Rank-log 1617000167.8773358 total_accuracy:0.0, total_samples_cnt:2688
AI-Rank-log 1617000168.0087657 total_accuracy:0.0, total_samples_cnt:2720
AI-Rank-log 1617000168.2655644 total_accuracy:0.0, total_samples_cnt:2752
AI-Rank-log 1617000168.3528647 total_accuracy:0.0, total_samples_cnt:2784
AI-Rank-log 1617000168.4930053 total_accuracy:0.0, total_samples_cnt:2816
AI-Rank-log 1617000168.5798602 total_accuracy:0.0, total_samples_cnt:2848
AI-Rank-log 1617000168.746179 total_accuracy:0.0, total_samples_cnt:2880
AI-Rank-log 1617000168.8336005 total_accuracy:0.0, total_samples_cnt:2912
AI-Rank-log 1617000169.0120218 total_accuracy:0.0, total_samples_cnt:2944
AI-Rank-log 1617000169.1000543 total_accuracy:0.0, total_samples_cnt:2976
AI-Rank-log 1617000169.26229 total_accuracy:0.0, total_samples_cnt:3008
AI-Rank-log 1617000169.3488817 total_accuracy:0.0, total_samples_cnt:3040
AI-Rank-log 1617000169.5169268 total_accuracy:0.0, total_samples_cnt:3072
AI-Rank-log 1617000169.60424 total_accuracy:0.0, total_samples_cnt:3104
AI-Rank-log 1617000169.764343 total_accuracy:0.0, total_samples_cnt:3136
AI-Rank-log 1617000169.8520932 total_accuracy:0.0, total_samples_cnt:3168
AI-Rank-log 1617000170.0696905 total_accuracy:0.0, total_samples_cnt:3200
AI-Rank-log 1617000170.1566675 total_accuracy:0.0, total_samples_cnt:3232
AI-Rank-log 1617000170.3221085 total_accuracy:0.0, total_samples_cnt:3264
AI-Rank-log 1617000170.4082105 total_accuracy:0.0, total_samples_cnt:3296
AI-Rank-log 1617000170.5688028 total_accuracy:0.0, total_samples_cnt:3328
AI-Rank-log 1617000170.6554244 total_accuracy:0.0, total_samples_cnt:3360
AI-Rank-log 1617000170.8379898 total_accuracy:0.0, total_samples_cnt:3392
AI-Rank-log 1617000170.9249754 total_accuracy:0.0, total_samples_cnt:3424
AI-Rank-log 1617000171.097029 total_accuracy:0.0, total_samples_cnt:3456
AI-Rank-log 1617000171.1844106 total_accuracy:0.0, total_samples_cnt:3488
AI-Rank-log 1617000171.3338323 total_accuracy:0.0, total_samples_cnt:3520
AI-Rank-log 1617000171.4213855 total_accuracy:0.0, total_samples_cnt:3552
AI-Rank-log 1617000171.5728505 total_accuracy:0.0, total_samples_cnt:3584
AI-Rank-log 1617000171.6605394 total_accuracy:0.0, total_samples_cnt:3616
AI-Rank-log 1617000171.8585877 total_accuracy:0.0, total_samples_cnt:3648
AI-Rank-log 1617000171.9612916 total_accuracy:0.0, total_samples_cnt:3680
AI-Rank-log 1617000172.2426963 total_accuracy:0.0, total_samples_cnt:3712
AI-Rank-log 1617000172.3299613 total_accuracy:0.0, total_samples_cnt:3744
AI-Rank-log 1617000172.4850707 total_accuracy:0.0, total_samples_cnt:3776
AI-Rank-log 1617000172.572326 total_accuracy:0.0, total_samples_cnt:3808
AI-Rank-log 1617000172.7986372 total_accuracy:0.0, total_samples_cnt:3840
AI-Rank-log 1617000172.9012942 total_accuracy:0.0, total_samples_cnt:3872
AI-Rank-log 1617000173.1761868 total_accuracy:0.025614753365516663, total_samples_cnt:3904
AI-Rank-log 1617000173.2638762 total_accuracy:0.025406502187252045, total_samples_cnt:3936
AI-Rank-log 1617000173.388092 total_accuracy:0.02520161122083664, total_samples_cnt:3968
AI-Rank-log 1617000173.4758995 total_accuracy:0.02500000037252903, total_samples_cnt:4000
AI-Rank-log 1617000173.6595335 total_accuracy:0.0248015895485878, total_samples_cnt:4032
