[ AI-Rank-Log  4/ 8 16:14:13.281 ]load_data, checksum: e753a469e46c13dcb99114b2202c2a0c
[ AI-Rank-Log  4/ 8 16:14:33.499 ]XNNPACK delegate is created.
[ AI-Rank-Log  4/ 8 16:14:33.575 ]test_begin
[ AI-Rank-Log  4/ 8 16:14:33.848 ]sampleid: 000000000139.jpg, result=true
[ AI-Rank-Log  4/ 8 16:14:34.111 ]sampleid: 000000000285.jpg, result=true
[ AI-Rank-Log  4/ 8 16:14:34.361 ]sampleid: 000000000632.jpg, result=true
[ AI-Rank-Log  4/ 8 16:14:34.606 ]sampleid: 000000000724.jpg, result=true
[ AI-Rank-Log  4/ 8 16:14:34.856 ]sampleid: 000000000776.jpg, result=true
[ AI-Rank-Log  4/ 8 16:14:35.107 ]sampleid: 000000000785.jpg, result=true
[ AI-Rank-Log  4/ 8 16:14:35.352 ]sampleid: 000000000802.jpg, result=true
[ AI-Rank-Log  4/ 8 16:14:35.615 ]sampleid: 000000000872.jpg, result=true
[ AI-Rank-Log  4/ 8 16:14:35.863 ]sampleid: 000000000885.jpg, result=true
[ AI-Rank-Log  4/ 8 16:14:36.122 ]sampleid: 000000001000.jpg, result=true
[ AI-Rank-Log  4/ 8 16:14:36.374 ]sampleid: 000000001268.jpg, result=true
[ AI-Rank-Log  4/ 8 16:14:36.626 ]sampleid: 000000001296.jpg, result=true
[ AI-Rank-Log  4/ 8 16:14:36.871 ]sampleid: 000000001353.jpg, result=true
[ AI-Rank-Log  4/ 8 16:14:37.127 ]sampleid: 000000001425.jpg, result=true
[ AI-Rank-Log  4/ 8 16:14:37.372 ]sampleid: 000000001490.jpg, result=true
[ AI-Rank-Log  4/ 8 16:14:37.605 ]sampleid: 000000001503.jpg, result=true
[ AI-Rank-Log  4/ 8 16:14:37.862 ]sampleid: 000000001532.jpg, result=true
[ AI-Rank-Log  4/ 8 16:14:38.122 ]sampleid: 000000001584.jpg, result=true
[ AI-Rank-Log  4/ 8 16:14:38.378 ]sampleid: 000000001675.jpg, result=true
[ AI-Rank-Log  4/ 8 16:14:38.629 ]sampleid: 000000001761.jpg, result=true
[ AI-Rank-Log  4/ 8 16:14:38.884 ]sampleid: 000000001818.jpg, result=true
[ AI-Rank-Log  4/ 8 16:14:39.138 ]sampleid: 000000001993.jpg, result=true
[ AI-Rank-Log  4/ 8 16:14:39.395 ]sampleid: 000000002006.jpg, result=true
[ AI-Rank-Log  4/ 8 16:14:39.646 ]sampleid: 000000002149.jpg, result=true
[ AI-Rank-Log  4/ 8 16:14:39.909 ]sampleid: 000000002153.jpg, result=true
[ AI-Rank-Log  4/ 8 16:14:40.161 ]sampleid: 000000002157.jpg, result=true
[ AI-Rank-Log  4/ 8 16:14:40.421 ]sampleid: 000000002261.jpg, result=true
[ AI-Rank-Log  4/ 8 16:14:40.669 ]sampleid: 000000002299.jpg, result=true
