[ AI-Rank-Log  4/ 8 18: 2: 7.412 ]load_data, checksum: e753a469e46c13dcb99114b2202c2a0c
[ AI-Rank-Log  4/ 8 18: 2:26.643 ]GPU delegate is created.
ERROR: Following operations are not supported by GPU delegate:
CUSTOM TFLite_Detection_PostProcess: TFLite_Detection_PostProcess
181 operations will run on the GPU, and the remaining 1 operations will run on the CPU.
INFO: Initialized OpenCL-based API.
[ AI-Rank-Log  4/ 8 18: 2:32.377 ]test_begin
[ AI-Rank-Log  4/ 8 18: 2:32.529 ]sampleid: 000000000139.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 2:32.701 ]sampleid: 000000000285.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 2:32.888 ]sampleid: 000000000632.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 2:33. 46 ]sampleid: 000000000724.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 2:33.212 ]sampleid: 000000000776.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 2:33.401 ]sampleid: 000000000785.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 2:33.564 ]sampleid: 000000000802.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 2:33.743 ]sampleid: 000000000872.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 2:33.930 ]sampleid: 000000000885.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 2:34.102 ]sampleid: 000000001000.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 2:34.286 ]sampleid: 000000001268.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 2:34.458 ]sampleid: 000000001296.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 2:34.633 ]sampleid: 000000001353.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 2:34.808 ]sampleid: 000000001425.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 2:34.967 ]sampleid: 000000001490.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 2:35.111 ]sampleid: 000000001503.jpg, result=true
