[ AI-Rank-Log  4/ 8 12:54: 7.334 ]load_data, checksum: e753a469e46c13dcb99114b2202c2a0c
[ AI-Rank-Log  4/ 8 12:54:11.721 ]GPU delegate is created.
ERROR: Following operations are not supported by GPU delegate:
CUSTOM TFLite_Detection_PostProcess: TFLite_Detection_PostProcess
181 operations will run on the GPU, and the remaining 1 operations will run on the CPU.
INFO: Initialized OpenCL-based API.
[ AI-Rank-Log  4/ 8 12:54:15. 36 ]test_begin
[ AI-Rank-Log  4/ 8 12:54:15. 87 ]sampleid: 000000000139.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:15.141 ]sampleid: 000000000285.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:15.201 ]sampleid: 000000000632.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:15.256 ]sampleid: 000000000724.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:15.325 ]sampleid: 000000000776.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:15.384 ]sampleid: 000000000785.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:15.440 ]sampleid: 000000000802.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:15.501 ]sampleid: 000000000872.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:15.561 ]sampleid: 000000000885.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:15.621 ]sampleid: 000000001000.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:15.682 ]sampleid: 000000001268.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:15.743 ]sampleid: 000000001296.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:15.801 ]sampleid: 000000001353.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:15.859 ]sampleid: 000000001425.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:15.911 ]sampleid: 000000001490.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:15.961 ]sampleid: 000000001503.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:16. 21 ]sampleid: 000000001532.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:16. 83 ]sampleid: 000000001584.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:16.142 ]sampleid: 000000001675.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:16.202 ]sampleid: 000000001761.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:16.263 ]sampleid: 000000001818.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:16.323 ]sampleid: 000000001993.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:16.387 ]sampleid: 000000002006.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:16.445 ]sampleid: 000000002149.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:16.509 ]sampleid: 000000002153.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:16.578 ]sampleid: 000000002157.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:16.641 ]sampleid: 000000002261.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:16.702 ]sampleid: 000000002299.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:16.770 ]sampleid: 000000002431.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:16.837 ]sampleid: 000000002473.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:16.901 ]sampleid: 000000002532.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:16.961 ]sampleid: 000000002587.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:17. 22 ]sampleid: 000000002592.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:17.102 ]sampleid: 000000002685.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:17.160 ]sampleid: 000000002923.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:17.223 ]sampleid: 000000003156.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:17.288 ]sampleid: 000000003255.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:17.360 ]sampleid: 000000003501.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:17.424 ]sampleid: 000000003553.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:17.488 ]sampleid: 000000003661.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:17.565 ]sampleid: 000000003845.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:17.621 ]sampleid: 000000003934.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:17.685 ]sampleid: 000000004134.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:17.756 ]sampleid: 000000004395.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:17.820 ]sampleid: 000000004495.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:17.892 ]sampleid: 000000004765.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:17.960 ]sampleid: 000000004795.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:18. 32 ]sampleid: 000000005001.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:18.100 ]sampleid: 000000005037.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:18.170 ]sampleid: 000000005060.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:18.243 ]sampleid: 000000005193.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:18.300 ]sampleid: 000000005477.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:18.359 ]sampleid: 000000005503.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:18.422 ]sampleid: 000000005529.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:18.484 ]sampleid: 000000005586.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:18.549 ]sampleid: 000000005600.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:18.622 ]sampleid: 000000005992.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:18.688 ]sampleid: 000000006012.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:18.763 ]sampleid: 000000006040.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:18.821 ]sampleid: 000000006213.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:18.885 ]sampleid: 000000006460.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:18.953 ]sampleid: 000000006471.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:19. 22 ]sampleid: 000000006614.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:19. 89 ]sampleid: 000000006723.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:19.160 ]sampleid: 000000006763.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:19.221 ]sampleid: 000000006771.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:19.287 ]sampleid: 000000006818.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:19.359 ]sampleid: 000000006894.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:19.435 ]sampleid: 000000006954.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:19.505 ]sampleid: 000000007088.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:19.578 ]sampleid: 000000007108.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:19.660 ]sampleid: 000000007278.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:19.739 ]sampleid: 000000007281.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:19.813 ]sampleid: 000000007386.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:19.885 ]sampleid: 000000007511.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:19.962 ]sampleid: 000000007574.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:20. 40 ]sampleid: 000000007784.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:20.114 ]sampleid: 000000007795.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:20.189 ]sampleid: 000000007816.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:20.262 ]sampleid: 000000007818.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:20.340 ]sampleid: 000000007888.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:20.420 ]sampleid: 000000007977.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:20.500 ]sampleid: 000000007991.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:20.581 ]sampleid: 000000008021.jpg, result=true
