[ AI-Rank-Log  4/ 7 16: 4: 3.808 ]load_data, checksum: e753a469e46c13dcb99114b2202c2a0c 
[ AI-Rank-Log  4/ 7 16: 4: 5.207 ]XNNPACK delegate is created.
[ AI-Rank-Log  4/ 7 16: 4: 5.220 ]test_begin
[ AI-Rank-Log  4/ 7 16: 4: 5.286 ]sampleid: 000000000139.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4: 5.343 ]sampleid: 000000000285.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4: 5.391 ]sampleid: 000000000632.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4: 5.437 ]sampleid: 000000000724.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4: 5.485 ]sampleid: 000000000776.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4: 5.532 ]sampleid: 000000000785.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4: 5.578 ]sampleid: 000000000802.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4: 5.630 ]sampleid: 000000000872.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4: 5.678 ]sampleid: 000000000885.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4: 5.729 ]sampleid: 000000001000.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4: 5.778 ]sampleid: 000000001268.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4: 5.826 ]sampleid: 000000001296.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4: 5.874 ]sampleid: 000000001353.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4: 5.922 ]sampleid: 000000001425.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4: 5.968 ]sampleid: 000000001490.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4: 6. 10 ]sampleid: 000000001503.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4: 6. 59 ]sampleid: 000000001532.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4: 6.113 ]sampleid: 000000001584.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4: 6.161 ]sampleid: 000000001675.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4: 6.211 ]sampleid: 000000001761.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4: 6.264 ]sampleid: 000000001818.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4: 6.312 ]sampleid: 000000001993.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4: 6.361 ]sampleid: 000000002006.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4: 6.408 ]sampleid: 000000002149.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4: 6.458 ]sampleid: 000000002153.jpg, result=true
