[ AI-Rank-Log  4/ 7 16:48:18.565 ]load_data, checksum: e753a469e46c13dcb99114b2202c2a0c
[ AI-Rank-Log  4/ 7 16:48:19.923 ]GPU delegate is created.
ERROR: Following operations are not supported by GPU delegate:
CUSTOM TFLite_Detection_PostProcess: TFLite_Detection_PostProcess
181 operations will run on the GPU, and the remaining 1 operations will run on the CPU.
INFO: Initialized OpenCL-based API.
[ AI-Rank-Log  4/ 7 16:48:21.752 ]sampleid: 000000000139.jpg, result=true
[ AI-Rank-Log  4/ 7 16:48:21.789 ]sampleid: 000000000285.jpg, result=true
[ AI-Rank-Log  4/ 7 16:48:21.824 ]sampleid: 000000000632.jpg, result=true
[ AI-Rank-Log  4/ 7 16:48:21.856 ]sampleid: 000000000724.jpg, result=true
[ AI-Rank-Log  4/ 7 16:48:21.899 ]sampleid: 000000000776.jpg, result=true
[ AI-Rank-Log  4/ 7 16:48:21.946 ]sampleid: 000000000785.jpg, result=true
[ AI-Rank-Log  4/ 7 16:48:21.990 ]sampleid: 000000000802.jpg, result=true
[ AI-Rank-Log  4/ 7 16:48:22. 37 ]sampleid: 000000000872.jpg, result=true
[ AI-Rank-Log  4/ 7 16:48:22. 76 ]sampleid: 000000000885.jpg, result=true
[ AI-Rank-Log  4/ 7 16:48:22.126 ]sampleid: 000000001000.jpg, result=true
[ AI-Rank-Log  4/ 7 16:48:22.166 ]sampleid: 000000001268.jpg, result=true
[ AI-Rank-Log  4/ 7 16:48:22.206 ]sampleid: 000000001296.jpg, result=true
[ AI-Rank-Log  4/ 7 16:48:22.241 ]sampleid: 000000001353.jpg, result=true
[ AI-Rank-Log  4/ 7 16:48:22.280 ]sampleid: 000000001425.jpg, result=true
[ AI-Rank-Log  4/ 7 16:48:22.321 ]sampleid: 000000001490.jpg, result=true
[ AI-Rank-Log  4/ 7 16:48:22.356 ]sampleid: 000000001503.jpg, result=true
[ AI-Rank-Log  4/ 7 16:48:22.404 ]sampleid: 000000001532.jpg, result=true
[ AI-Rank-Log  4/ 7 16:48:22.454 ]sampleid: 000000001584.jpg, result=true
[ AI-Rank-Log  4/ 7 16:48:22.488 ]sampleid: 000000001675.jpg, result=true
[ AI-Rank-Log  4/ 7 16:48:22.527 ]sampleid: 000000001761.jpg, result=true
[ AI-Rank-Log  4/ 7 16:48:22.568 ]sampleid: 000000001818.jpg, result=true
[ AI-Rank-Log  4/ 7 16:48:22.606 ]sampleid: 000000001993.jpg, result=true
[ AI-Rank-Log  4/ 7 16:48:22.650 ]sampleid: 000000002006.jpg, result=true
[ AI-Rank-Log  4/ 7 16:48:22.695 ]sampleid: 000000002149.jpg, result=true
[ AI-Rank-Log  4/ 7 16:48:22.742 ]sampleid: 000000002153.jpg, result=true
[ AI-Rank-Log  4/ 7 16:48:22.788 ]sampleid: 000000002157.jpg, result=true
[ AI-Rank-Log  4/ 7 16:48:22.834 ]sampleid: 000000002261.jpg, result=true
[ AI-Rank-Log  4/ 7 16:48:22.875 ]sampleid: 000000002299.jpg, result=true
[ AI-Rank-Log  4/ 7 16:48:22.925 ]sampleid: 000000002431.jpg, result=true
[ AI-Rank-Log  4/ 7 16:48:22.971 ]sampleid: 000000002473.jpg, result=true
[ AI-Rank-Log  4/ 7 16:48:23.  5 ]sampleid: 000000002532.jpg, result=true
[ AI-Rank-Log  4/ 7 16:48:23. 44 ]sampleid: 000000002587.jpg, result=true
[ AI-Rank-Log  4/ 7 16:48:23. 86 ]sampleid: 000000002592.jpg, result=true
[ AI-Rank-Log  4/ 7 16:48:23.142 ]sampleid: 000000002685.jpg, result=true
[ AI-Rank-Log  4/ 7 16:48:23.188 ]sampleid: 000000002923.jpg, result=true
[ AI-Rank-Log  4/ 7 16:48:23.229 ]sampleid: 000000003156.jpg, result=true
[ AI-Rank-Log  4/ 7 16:48:23.270 ]sampleid: 000000003255.jpg, result=true
[ AI-Rank-Log  4/ 7 16:48:23.316 ]sampleid: 000000003501.jpg, result=true
[ AI-Rank-Log  4/ 7 16:48:23.365 ]sampleid: 000000003553.jpg, result=true
[ AI-Rank-Log  4/ 7 16:48:23.409 ]sampleid: 000000003661.jpg, result=true
[ AI-Rank-Log  4/ 7 16:48:23.451 ]sampleid: 000000003845.jpg, result=true
[ AI-Rank-Log  4/ 7 16:48:23.494 ]sampleid: 000000003934.jpg, result=true
[ AI-Rank-Log  4/ 7 16:48:23.547 ]sampleid: 000000004134.jpg, result=true
[ AI-Rank-Log  4/ 7 16:48:23.597 ]sampleid: 000000004395.jpg, result=true
[ AI-Rank-Log  4/ 7 16:48:23.652 ]sampleid: 000000004495.jpg, result=true
[ AI-Rank-Log  4/ 7 16:48:23.708 ]sampleid: 000000004765.jpg, result=true
[ AI-Rank-Log  4/ 7 16:48:23.755 ]sampleid: 000000004795.jpg, result=true
[ AI-Rank-Log  4/ 7 16:48:23.804 ]sampleid: 000000005001.jpg, result=true
[ AI-Rank-Log  4/ 7 16:48:23.854 ]sampleid: 000000005037.jpg, result=true
[ AI-Rank-Log  4/ 7 16:48:23.906 ]sampleid: 000000005060.jpg, result=true
[ AI-Rank-Log  4/ 7 16:48:23.952 ]sampleid: 000000005193.jpg, result=true
[ AI-Rank-Log  4/ 7 16:48:23.995 ]sampleid: 000000005477.jpg, result=true
[ AI-Rank-Log  4/ 7 16:48:24. 38 ]sampleid: 000000005503.jpg, result=true
[ AI-Rank-Log  4/ 7 16:48:24. 92 ]sampleid: 000000005529.jpg, result=true
[ AI-Rank-Log  4/ 7 16:48:24.130 ]sampleid: 000000005586.jpg, result=true
[ AI-Rank-Log  4/ 7 16:48:24.176 ]sampleid: 000000005600.jpg, result=true
[ AI-Rank-Log  4/ 7 16:48:24.230 ]sampleid: 000000005992.jpg, result=true
[ AI-Rank-Log  4/ 7 16:48:24.267 ]sampleid: 000000006012.jpg, result=true
