[ AI-Rank-Log  2/ 1  5:38:10.903 ]load_data, checksum: e753a469e46c13dcb99114b2202c2a0c
[ AI-Rank-Log  2/ 1  5:38:34.482 ]XNNPACK delegate is created.
[ AI-Rank-Log  2/ 1  5:38:34.512 ]test_begin
[ AI-Rank-Log  2/ 1  5:38:34.701 ]sampleid: 000000000139.jpg, result=true
[ AI-Rank-Log  2/ 1  5:38:34.889 ]sampleid: 000000000285.jpg, result=true
[ AI-Rank-Log  2/ 1  5:38:35. 66 ]sampleid: 000000000632.jpg, result=true
[ AI-Rank-Log  2/ 1  5:38:35.242 ]sampleid: 000000000724.jpg, result=true
[ AI-Rank-Log  2/ 1  5:38:35.419 ]sampleid: 000000000776.jpg, result=true
[ AI-Rank-Log  2/ 1  5:38:35.596 ]sampleid: 000000000785.jpg, result=true
[ AI-Rank-Log  2/ 1  5:38:35.770 ]sampleid: 000000000802.jpg, result=true
[ AI-Rank-Log  2/ 1  5:38:35.956 ]sampleid: 000000000872.jpg, result=true
[ AI-Rank-Log  2/ 1  5:38:36.133 ]sampleid: 000000000885.jpg, result=true
[ AI-Rank-Log  2/ 1  5:38:36.316 ]sampleid: 000000001000.jpg, result=true
[ AI-Rank-Log  2/ 1  5:38:36.496 ]sampleid: 000000001268.jpg, result=true
[ AI-Rank-Log  2/ 1  5:38:36.675 ]sampleid: 000000001296.jpg, result=true
[ AI-Rank-Log  2/ 1  5:38:36.850 ]sampleid: 000000001353.jpg, result=true
[ AI-Rank-Log  2/ 1  5:38:37. 24 ]sampleid: 000000001425.jpg, result=true
[ AI-Rank-Log  2/ 1  5:38:37.200 ]sampleid: 000000001490.jpg, result=true
[ AI-Rank-Log  2/ 1  5:38:37.369 ]sampleid: 000000001503.jpg, result=true
[ AI-Rank-Log  2/ 1  5:38:37.550 ]sampleid: 000000001532.jpg, result=true
[ AI-Rank-Log  2/ 1  5:38:37.731 ]sampleid: 000000001584.jpg, result=true
[ AI-Rank-Log  2/ 1  5:38:37.908 ]sampleid: 000000001675.jpg, result=true
[ AI-Rank-Log  2/ 1  5:38:38. 87 ]sampleid: 000000001761.jpg, result=true
[ AI-Rank-Log  2/ 1  5:38:38.267 ]sampleid: 000000001818.jpg, result=true
[ AI-Rank-Log  2/ 1  5:38:38.444 ]sampleid: 000000001993.jpg, result=true
[ AI-Rank-Log  2/ 1  5:38:38.625 ]sampleid: 000000002006.jpg, result=true
[ AI-Rank-Log  2/ 1  5:38:38.801 ]sampleid: 000000002149.jpg, result=true
[ AI-Rank-Log  2/ 1  5:38:38.984 ]sampleid: 000000002153.jpg, result=true
