[ AI-Rank-Log  2/ 1  6:58:18.777 ]load_data, checksum: e753a469e46c13dcb99114b2202c2a0c
[ AI-Rank-Log  2/ 1  6:58:40.776 ]GPU delegate is created.
ERROR: Following operations are not supported by GPU delegate:
CUSTOM TFLite_Detection_PostProcess: TFLite_Detection_PostProcess
181 operations will run on the GPU, and the remaining 1 operations will run on the CPU.
INFO: Initialized OpenCL-based API.
[ AI-Rank-Log  2/ 1  6:58:42.134 ]test_begin
[ AI-Rank-Log  2/ 1  6:58:42.293 ]sampleid: 000000000139.jpg, result=true
[ AI-Rank-Log  2/ 1  6:58:42.464 ]sampleid: 000000000285.jpg, result=true
[ AI-Rank-Log  2/ 1  6:58:42.670 ]sampleid: 000000000632.jpg, result=true
[ AI-Rank-Log  2/ 1  6:58:42.878 ]sampleid: 000000000724.jpg, result=true
[ AI-Rank-Log  2/ 1  6:58:43. 88 ]sampleid: 000000000776.jpg, result=true
[ AI-Rank-Log  2/ 1  6:58:43.296 ]sampleid: 000000000785.jpg, result=true
[ AI-Rank-Log  2/ 1  6:58:43.407 ]sampleid: 000000000802.jpg, result=true
[ AI-Rank-Log  2/ 1  6:58:43.565 ]sampleid: 000000000872.jpg, result=true
[ AI-Rank-Log  2/ 1  6:58:43.773 ]sampleid: 000000000885.jpg, result=true
[ AI-Rank-Log  2/ 1  6:58:43.914 ]sampleid: 000000001000.jpg, result=true
[ AI-Rank-Log  2/ 1  6:58:44.126 ]sampleid: 000000001268.jpg, result=true
[ AI-Rank-Log  2/ 1  6:58:44.338 ]sampleid: 000000001296.jpg, result=true
[ AI-Rank-Log  2/ 1  6:58:44.547 ]sampleid: 000000001353.jpg, result=true
[ AI-Rank-Log  2/ 1  6:58:44.758 ]sampleid: 000000001425.jpg, result=true
[ AI-Rank-Log  2/ 1  6:58:44.968 ]sampleid: 000000001490.jpg, result=true
[ AI-Rank-Log  2/ 1  6:58:45.169 ]sampleid: 000000001503.jpg, result=true
[ AI-Rank-Log  2/ 1  6:58:45.381 ]sampleid: 000000001532.jpg, result=true
[ AI-Rank-Log  2/ 1  6:58:45.512 ]sampleid: 000000001584.jpg, result=true
[ AI-Rank-Log  2/ 1  6:58:45.662 ]sampleid: 000000001675.jpg, result=true
[ AI-Rank-Log  2/ 1  6:58:45.781 ]sampleid: 000000001761.jpg, result=true
[ AI-Rank-Log  2/ 1  6:58:45.909 ]sampleid: 000000001818.jpg, result=true
[ AI-Rank-Log  2/ 1  6:58:46.121 ]sampleid: 000000001993.jpg, result=true
[ AI-Rank-Log  2/ 1  6:58:46.308 ]sampleid: 000000002006.jpg, result=true
[ AI-Rank-Log  2/ 1  6:58:46.471 ]sampleid: 000000002149.jpg, result=true
[ AI-Rank-Log  2/ 1  6:58:46.579 ]sampleid: 000000002153.jpg, result=true
[ AI-Rank-Log  2/ 1  6:58:46.793 ]sampleid: 000000002157.jpg, result=true
[ AI-Rank-Log  2/ 1  6:58:46.970 ]sampleid: 000000002261.jpg, result=true
[ AI-Rank-Log  2/ 1  6:58:47. 99 ]sampleid: 000000002299.jpg, result=true
[ AI-Rank-Log  2/ 1  6:58:47.260 ]sampleid: 000000002431.jpg, result=true
[ AI-Rank-Log  2/ 1  6:58:47.475 ]sampleid: 000000002473.jpg, result=true
[ AI-Rank-Log  2/ 1  6:58:47.694 ]sampleid: 000000002532.jpg, result=true
[ AI-Rank-Log  2/ 1  6:58:47.907 ]sampleid: 000000002587.jpg, result=true
[ AI-Rank-Log  2/ 1  6:58:48.123 ]sampleid: 000000002592.jpg, result=true
