[ AI-Rank-Log  1/31 19:43:10.418 ]load_data, checksum: e753a469e46c13dcb99114b2202c2a0c
[ AI-Rank-Log  1/31 19:43:35.989 ]XNNPACK delegate is created.
[ AI-Rank-Log  1/31 19:43:36. 19 ]test_begin
[ AI-Rank-Log  1/31 19:43:36.209 ]sampleid: 000000000139.jpg, result=true
[ AI-Rank-Log  1/31 19:43:36.394 ]sampleid: 000000000285.jpg, result=true
[ AI-Rank-Log  1/31 19:43:36.578 ]sampleid: 000000000632.jpg, result=true
[ AI-Rank-Log  1/31 19:43:36.751 ]sampleid: 000000000724.jpg, result=true
[ AI-Rank-Log  1/31 19:43:36.930 ]sampleid: 000000000776.jpg, result=true
[ AI-Rank-Log  1/31 19:43:37.107 ]sampleid: 000000000785.jpg, result=true
[ AI-Rank-Log  1/31 19:43:37.277 ]sampleid: 000000000802.jpg, result=true
[ AI-Rank-Log  1/31 19:43:37.463 ]sampleid: 000000000872.jpg, result=true
[ AI-Rank-Log  1/31 19:43:37.636 ]sampleid: 000000000885.jpg, result=true
[ AI-Rank-Log  1/31 19:43:37.820 ]sampleid: 000000001000.jpg, result=true
[ AI-Rank-Log  1/31 19:43:38.  0 ]sampleid: 000000001268.jpg, result=true
[ AI-Rank-Log  1/31 19:43:38.177 ]sampleid: 000000001296.jpg, result=true
[ AI-Rank-Log  1/31 19:43:38.353 ]sampleid: 000000001353.jpg, result=true
[ AI-Rank-Log  1/31 19:43:38.529 ]sampleid: 000000001425.jpg, result=true
[ AI-Rank-Log  1/31 19:43:38.705 ]sampleid: 000000001490.jpg, result=true
[ AI-Rank-Log  1/31 19:43:38.875 ]sampleid: 000000001503.jpg, result=true
[ AI-Rank-Log  1/31 19:43:39. 56 ]sampleid: 000000001532.jpg, result=true
[ AI-Rank-Log  1/31 19:43:39.234 ]sampleid: 000000001584.jpg, result=true
[ AI-Rank-Log  1/31 19:43:39.413 ]sampleid: 000000001675.jpg, result=true
[ AI-Rank-Log  1/31 19:43:39.588 ]sampleid: 000000001761.jpg, result=true
[ AI-Rank-Log  1/31 19:43:39.766 ]sampleid: 000000001818.jpg, result=true
[ AI-Rank-Log  1/31 19:43:39.945 ]sampleid: 000000001993.jpg, result=true
[ AI-Rank-Log  1/31 19:43:40.126 ]sampleid: 000000002006.jpg, result=true
[ AI-Rank-Log  1/31 19:43:40.302 ]sampleid: 000000002149.jpg, result=true
[ AI-Rank-Log  1/31 19:43:40.482 ]sampleid: 000000002153.jpg, result=true
[ AI-Rank-Log  1/31 19:43:40.659 ]sampleid: 000000002157.jpg, result=true
[ AI-Rank-Log  1/31 19:43:40.840 ]sampleid: 000000002261.jpg, result=true
[ AI-Rank-Log  1/31 19:43:41. 18 ]sampleid: 000000002299.jpg, result=true
[ AI-Rank-Log  1/31 19:43:41.196 ]sampleid: 000000002431.jpg, result=true
[ AI-Rank-Log  1/31 19:43:41.374 ]sampleid: 000000002473.jpg, result=true
[ AI-Rank-Log  1/31 19:43:41.557 ]sampleid: 000000002532.jpg, result=true
[ AI-Rank-Log  1/31 19:43:41.739 ]sampleid: 000000002587.jpg, result=true
[ AI-Rank-Log  1/31 19:43:41.916 ]sampleid: 000000002592.jpg, result=true
[ AI-Rank-Log  1/31 19:43:42.100 ]sampleid: 000000002685.jpg, result=true
[ AI-Rank-Log  1/31 19:43:42.274 ]sampleid: 000000002923.jpg, result=true
[ AI-Rank-Log  1/31 19:43:42.454 ]sampleid: 000000003156.jpg, result=true
[ AI-Rank-Log  1/31 19:43:42.631 ]sampleid: 000000003255.jpg, result=true
[ AI-Rank-Log  1/31 19:43:42.815 ]sampleid: 000000003501.jpg, result=true
[ AI-Rank-Log  1/31 19:43:42.997 ]sampleid: 000000003553.jpg, result=true
[ AI-Rank-Log  1/31 19:43:43.173 ]sampleid: 000000003661.jpg, result=true
[ AI-Rank-Log  1/31 19:43:43.359 ]sampleid: 000000003845.jpg, result=true
[ AI-Rank-Log  1/31 19:43:43.538 ]sampleid: 000000003934.jpg, result=true
[ AI-Rank-Log  1/31 19:43:43.721 ]sampleid: 000000004134.jpg, result=true
[ AI-Rank-Log  1/31 19:43:43.900 ]sampleid: 000000004395.jpg, result=true
[ AI-Rank-Log  1/31 19:43:44. 85 ]sampleid: 000000004495.jpg, result=true
[ AI-Rank-Log  1/31 19:43:44.270 ]sampleid: 000000004765.jpg, result=true
[ AI-Rank-Log  1/31 19:43:44.453 ]sampleid: 000000004795.jpg, result=true
[ AI-Rank-Log  1/31 19:43:44.641 ]sampleid: 000000005001.jpg, result=true
[ AI-Rank-Log  1/31 19:43:44.831 ]sampleid: 000000005037.jpg, result=true
[ AI-Rank-Log  1/31 19:43:45. 13 ]sampleid: 000000005060.jpg, result=true
[ AI-Rank-Log  1/31 19:43:45.193 ]sampleid: 000000005193.jpg, result=true
[ AI-Rank-Log  1/31 19:43:45.378 ]sampleid: 000000005477.jpg, result=true
[ AI-Rank-Log  1/31 19:43:45.558 ]sampleid: 000000005503.jpg, result=true
[ AI-Rank-Log  1/31 19:43:45.743 ]sampleid: 000000005529.jpg, result=true
[ AI-Rank-Log  1/31 19:43:45.924 ]sampleid: 000000005586.jpg, result=true
[ AI-Rank-Log  1/31 19:43:46.110 ]sampleid: 000000005600.jpg, result=true
[ AI-Rank-Log  1/31 19:43:46.295 ]sampleid: 000000005992.jpg, result=true
[ AI-Rank-Log  1/31 19:43:46.482 ]sampleid: 000000006012.jpg, result=true
[ AI-Rank-Log  1/31 19:43:46.665 ]sampleid: 000000006040.jpg, result=true
[ AI-Rank-Log  1/31 19:43:46.846 ]sampleid: 000000006213.jpg, result=true
[ AI-Rank-Log  1/31 19:43:47. 29 ]sampleid: 000000006460.jpg, result=true
[ AI-Rank-Log  1/31 19:43:47.212 ]sampleid: 000000006471.jpg, result=true
[ AI-Rank-Log  1/31 19:43:47.394 ]sampleid: 000000006614.jpg, result=true
[ AI-Rank-Log  1/31 19:43:47.582 ]sampleid: 000000006723.jpg, result=true
[ AI-Rank-Log  1/31 19:43:47.767 ]sampleid: 000000006763.jpg, result=true
[ AI-Rank-Log  1/31 19:43:47.954 ]sampleid: 000000006771.jpg, result=true
[ AI-Rank-Log  1/31 19:43:48.141 ]sampleid: 000000006818.jpg, result=true
[ AI-Rank-Log  1/31 19:43:48.327 ]sampleid: 000000006894.jpg, result=true
[ AI-Rank-Log  1/31 19:43:48.520 ]sampleid: 000000006954.jpg, result=true
[ AI-Rank-Log  1/31 19:43:48.712 ]sampleid: 000000007088.jpg, result=true
[ AI-Rank-Log  1/31 19:43:48.901 ]sampleid: 000000007108.jpg, result=true
[ AI-Rank-Log  1/31 19:43:49. 95 ]sampleid: 000000007278.jpg, result=true
[ AI-Rank-Log  1/31 19:43:49.283 ]sampleid: 000000007281.jpg, result=true
[ AI-Rank-Log  1/31 19:43:49.476 ]sampleid: 000000007386.jpg, result=true
