[ AI-Rank-Log  1/31 20:58:57.965 ]load_data, checksum: e753a469e46c13dcb99114b2202c2a0c
[ AI-Rank-Log  1/31 20:59:24.132 ]GPU delegate is created.
ERROR: Following operations are not supported by GPU delegate:
CUSTOM TFLite_Detection_PostProcess: TFLite_Detection_PostProcess
181 operations will run on the GPU, and the remaining 1 operations will run on the CPU.
INFO: Initialized OpenCL-based API.
[ AI-Rank-Log  1/31 20:59:25.153 ]test_begin
[ AI-Rank-Log  1/31 20:59:25.393 ]sampleid: 000000000139.jpg, result=true
[ AI-Rank-Log  1/31 20:59:25.671 ]sampleid: 000000000285.jpg, result=true
[ AI-Rank-Log  1/31 20:59:25.935 ]sampleid: 000000000632.jpg, result=true
[ AI-Rank-Log  1/31 20:59:26.192 ]sampleid: 000000000724.jpg, result=true
[ AI-Rank-Log  1/31 20:59:26.453 ]sampleid: 000000000776.jpg, result=true
[ AI-Rank-Log  1/31 20:59:26.715 ]sampleid: 000000000785.jpg, result=true
[ AI-Rank-Log  1/31 20:59:26.931 ]sampleid: 000000000802.jpg, result=true
[ AI-Rank-Log  1/31 20:59:27.177 ]sampleid: 000000000872.jpg, result=true
[ AI-Rank-Log  1/31 20:59:27.377 ]sampleid: 000000000885.jpg, result=true
[ AI-Rank-Log  1/31 20:59:27.549 ]sampleid: 000000001000.jpg, result=true
[ AI-Rank-Log  1/31 20:59:27.642 ]sampleid: 000000001268.jpg, result=true
[ AI-Rank-Log  1/31 20:59:27.779 ]sampleid: 000000001296.jpg, result=true
[ AI-Rank-Log  1/31 20:59:27.852 ]sampleid: 000000001353.jpg, result=true
[ AI-Rank-Log  1/31 20:59:27.980 ]sampleid: 000000001425.jpg, result=true
[ AI-Rank-Log  1/31 20:59:28.105 ]sampleid: 000000001490.jpg, result=true
[ AI-Rank-Log  1/31 20:59:28.175 ]sampleid: 000000001503.jpg, result=true
[ AI-Rank-Log  1/31 20:59:28.265 ]sampleid: 000000001532.jpg, result=true
[ AI-Rank-Log  1/31 20:59:28.427 ]sampleid: 000000001584.jpg, result=true
[ AI-Rank-Log  1/31 20:59:28.514 ]sampleid: 000000001675.jpg, result=true
[ AI-Rank-Log  1/31 20:59:28.659 ]sampleid: 000000001761.jpg, result=true
[ AI-Rank-Log  1/31 20:59:28.753 ]sampleid: 000000001818.jpg, result=true
[ AI-Rank-Log  1/31 20:59:28.899 ]sampleid: 000000001993.jpg, result=true
[ AI-Rank-Log  1/31 20:59:28.990 ]sampleid: 000000002006.jpg, result=true
[ AI-Rank-Log  1/31 20:59:29.130 ]sampleid: 000000002149.jpg, result=true
[ AI-Rank-Log  1/31 20:59:29.224 ]sampleid: 000000002153.jpg, result=true
[ AI-Rank-Log  1/31 20:59:29.313 ]sampleid: 000000002157.jpg, result=true
[ AI-Rank-Log  1/31 20:59:29.474 ]sampleid: 000000002261.jpg, result=true
[ AI-Rank-Log  1/31 20:59:29.568 ]sampleid: 000000002299.jpg, result=true
[ AI-Rank-Log  1/31 20:59:29.680 ]sampleid: 000000002431.jpg, result=true
[ AI-Rank-Log  1/31 20:59:29.883 ]sampleid: 000000002473.jpg, result=true
[ AI-Rank-Log  1/31 20:59:30.124 ]sampleid: 000000002532.jpg, result=true
[ AI-Rank-Log  1/31 20:59:30.358 ]sampleid: 000000002587.jpg, result=true
[ AI-Rank-Log  1/31 20:59:30.509 ]sampleid: 000000002592.jpg, result=true
[ AI-Rank-Log  1/31 20:59:30.668 ]sampleid: 000000002685.jpg, result=true
[ AI-Rank-Log  1/31 20:59:30.789 ]sampleid: 000000002923.jpg, result=true
[ AI-Rank-Log  1/31 20:59:30.951 ]sampleid: 000000003156.jpg, result=true
[ AI-Rank-Log  1/31 20:59:31. 70 ]sampleid: 000000003255.jpg, result=true
[ AI-Rank-Log  1/31 20:59:31.278 ]sampleid: 000000003501.jpg, result=true
[ AI-Rank-Log  1/31 20:59:31.485 ]sampleid: 000000003553.jpg, result=true
[ AI-Rank-Log  1/31 20:59:31.645 ]sampleid: 000000003661.jpg, result=true
[ AI-Rank-Log  1/31 20:59:31.738 ]sampleid: 000000003845.jpg, result=true
[ AI-Rank-Log  1/31 20:59:31.885 ]sampleid: 000000003934.jpg, result=true
[ AI-Rank-Log  1/31 20:59:32. 33 ]sampleid: 000000004134.jpg, result=true
[ AI-Rank-Log  1/31 20:59:32.181 ]sampleid: 000000004395.jpg, result=true
[ AI-Rank-Log  1/31 20:59:32.328 ]sampleid: 000000004495.jpg, result=true
[ AI-Rank-Log  1/31 20:59:32.479 ]sampleid: 000000004765.jpg, result=true
[ AI-Rank-Log  1/31 20:59:32.630 ]sampleid: 000000004795.jpg, result=true
[ AI-Rank-Log  1/31 20:59:32.783 ]sampleid: 000000005001.jpg, result=true
[ AI-Rank-Log  1/31 20:59:32.935 ]sampleid: 000000005037.jpg, result=true
[ AI-Rank-Log  1/31 20:59:33. 87 ]sampleid: 000000005060.jpg, result=true
[ AI-Rank-Log  1/31 20:59:33.236 ]sampleid: 000000005193.jpg, result=true
[ AI-Rank-Log  1/31 20:59:33.385 ]sampleid: 000000005477.jpg, result=true
[ AI-Rank-Log  1/31 20:59:33.532 ]sampleid: 000000005503.jpg, result=true
[ AI-Rank-Log  1/31 20:59:33.686 ]sampleid: 000000005529.jpg, result=true
[ AI-Rank-Log  1/31 20:59:33.784 ]sampleid: 000000005586.jpg, result=true
[ AI-Rank-Log  1/31 20:59:33.945 ]sampleid: 000000005600.jpg, result=true
[ AI-Rank-Log  1/31 20:59:34. 46 ]sampleid: 000000005992.jpg, result=true
[ AI-Rank-Log  1/31 20:59:34.219 ]sampleid: 000000006012.jpg, result=true
[ AI-Rank-Log  1/31 20:59:34.341 ]sampleid: 000000006040.jpg, result=true
[ AI-Rank-Log  1/31 20:59:34.503 ]sampleid: 000000006213.jpg, result=true
[ AI-Rank-Log  1/31 20:59:34.597 ]sampleid: 000000006460.jpg, result=true
[ AI-Rank-Log  1/31 20:59:34.728 ]sampleid: 000000006471.jpg, result=true
[ AI-Rank-Log  1/31 20:59:34.916 ]sampleid: 000000006614.jpg, result=true
[ AI-Rank-Log  1/31 20:59:35. 70 ]sampleid: 000000006723.jpg, result=true
[ AI-Rank-Log  1/31 20:59:35.218 ]sampleid: 000000006763.jpg, result=true
[ AI-Rank-Log  1/31 20:59:35.334 ]sampleid: 000000006771.jpg, result=true
[ AI-Rank-Log  1/31 20:59:35.489 ]sampleid: 000000006818.jpg, result=true
[ AI-Rank-Log  1/31 20:59:35.613 ]sampleid: 000000006894.jpg, result=true
[ AI-Rank-Log  1/31 20:59:35.735 ]sampleid: 000000006954.jpg, result=true
[ AI-Rank-Log  1/31 20:59:35.838 ]sampleid: 000000007088.jpg, result=true
[ AI-Rank-Log  1/31 20:59:35.933 ]sampleid: 000000007108.jpg, result=true
[ AI-Rank-Log  1/31 20:59:36. 47 ]sampleid: 000000007278.jpg, result=true
[ AI-Rank-Log  1/31 20:59:36.144 ]sampleid: 000000007281.jpg, result=true
[ AI-Rank-Log  1/31 20:59:36.258 ]sampleid: 000000007386.jpg, result=true
[ AI-Rank-Log  1/31 20:59:36.425 ]sampleid: 000000007511.jpg, result=true
[ AI-Rank-Log  1/31 20:59:36.594 ]sampleid: 000000007574.jpg, result=true
[ AI-Rank-Log  1/31 20:59:36.700 ]sampleid: 000000007784.jpg, result=true
[ AI-Rank-Log  1/31 20:59:36.858 ]sampleid: 000000007795.jpg, result=true
[ AI-Rank-Log  1/31 20:59:36.995 ]sampleid: 000000007816.jpg, result=true
[ AI-Rank-Log  1/31 20:59:37.147 ]sampleid: 000000007818.jpg, result=true
[ AI-Rank-Log  1/31 20:59:37.257 ]sampleid: 000000007888.jpg, result=true
[ AI-Rank-Log  1/31 20:59:37.474 ]sampleid: 000000007977.jpg, result=true
[ AI-Rank-Log  1/31 20:59:37.690 ]sampleid: 000000007991.jpg, result=true
[ AI-Rank-Log  1/31 20:59:37.906 ]sampleid: 000000008021.jpg, result=true
[ AI-Rank-Log  1/31 20:59:38.125 ]sampleid: 000000008211.jpg, result=true
[ AI-Rank-Log  1/31 20:59:38.343 ]sampleid: 000000008277.jpg, result=true
[ AI-Rank-Log  1/31 20:59:38.558 ]sampleid: 000000008532.jpg, result=true
[ AI-Rank-Log  1/31 20:59:38.778 ]sampleid: 000000008629.jpg, result=true
[ AI-Rank-Log  1/31 20:59:38.997 ]sampleid: 000000008690.jpg, result=true
[ AI-Rank-Log  1/31 20:59:39.210 ]sampleid: 000000008762.jpg, result=true
[ AI-Rank-Log  1/31 20:59:39.424 ]sampleid: 000000008844.jpg, result=true
[ AI-Rank-Log  1/31 20:59:39.548 ]sampleid: 000000008899.jpg, result=true
[ AI-Rank-Log  1/31 20:59:39.724 ]sampleid: 000000009378.jpg, result=true
[ AI-Rank-Log  1/31 20:59:39.939 ]sampleid: 000000009400.jpg, result=true
[ AI-Rank-Log  1/31 20:59:40.120 ]sampleid: 000000009448.jpg, result=true
[ AI-Rank-Log  1/31 20:59:40.232 ]sampleid: 000000009483.jpg, result=true
[ AI-Rank-Log  1/31 20:59:40.353 ]sampleid: 000000009590.jpg, result=true
[ AI-Rank-Log  1/31 20:59:40.497 ]sampleid: 000000009769.jpg, result=true
[ AI-Rank-Log  1/31 20:59:40.673 ]sampleid: 000000009772.jpg, result=true
[ AI-Rank-Log  1/31 20:59:40.831 ]sampleid: 000000009891.jpg, result=true
[ AI-Rank-Log  1/31 20:59:40.958 ]sampleid: 000000009914.jpg, result=true
[ AI-Rank-Log  1/31 20:59:41. 93 ]sampleid: 000000010092.jpg, result=true
[ AI-Rank-Log  1/31 20:59:41.219 ]sampleid: 000000010363.jpg, result=true
[ AI-Rank-Log  1/31 20:59:41.441 ]sampleid: 000000010583.jpg, result=true
[ AI-Rank-Log  1/31 20:59:41.660 ]sampleid: 000000010707.jpg, result=true
[ AI-Rank-Log  1/31 20:59:41.883 ]sampleid: 000000010764.jpg, result=true
[ AI-Rank-Log  1/31 20:59:42. 97 ]sampleid: 000000010977.jpg, result=true
[ AI-Rank-Log  1/31 20:59:42.263 ]sampleid: 000000010995.jpg, result=true
[ AI-Rank-Log  1/31 20:59:42.440 ]sampleid: 000000011051.jpg, result=true
[ AI-Rank-Log  1/31 20:59:42.621 ]sampleid: 000000011122.jpg, result=true
[ AI-Rank-Log  1/31 20:59:42.746 ]sampleid: 000000011149.jpg, result=true
[ AI-Rank-Log  1/31 20:59:42.911 ]sampleid: 000000011197.jpg, result=true
[ AI-Rank-Log  1/31 20:59:43. 39 ]sampleid: 000000011511.jpg, result=true
[ AI-Rank-Log  1/31 20:59:43.263 ]sampleid: 000000011615.jpg, result=true
[ AI-Rank-Log  1/31 20:59:43.440 ]sampleid: 000000011699.jpg, result=true
[ AI-Rank-Log  1/31 20:59:43.619 ]sampleid: 000000011760.jpg, result=true
[ AI-Rank-Log  1/31 20:59:43.740 ]sampleid: 000000011813.jpg, result=true
[ AI-Rank-Log  1/31 20:59:43.963 ]sampleid: 000000012062.jpg, result=true
[ AI-Rank-Log  1/31 20:59:44.135 ]sampleid: 000000012120.jpg, result=true
[ AI-Rank-Log  1/31 20:59:44.327 ]sampleid: 000000012280.jpg, result=true
[ AI-Rank-Log  1/31 20:59:44.554 ]sampleid: 000000012576.jpg, result=true
[ AI-Rank-Log  1/31 20:59:44.781 ]sampleid: 000000012639.jpg, result=true
[ AI-Rank-Log  1/31 20:59:45.  5 ]sampleid: 000000012667.jpg, result=true
[ AI-Rank-Log  1/31 20:59:45.229 ]sampleid: 000000012670.jpg, result=true
[ AI-Rank-Log  1/31 20:59:45.419 ]sampleid: 000000012748.jpg, result=true
[ AI-Rank-Log  1/31 20:59:45.642 ]sampleid: 000000013004.jpg, result=true
[ AI-Rank-Log  1/31 20:59:45.867 ]sampleid: 000000013177.jpg, result=true
[ AI-Rank-Log  1/31 20:59:46. 16 ]sampleid: 000000013201.jpg, result=true
[ AI-Rank-Log  1/31 20:59:46.168 ]sampleid: 000000013291.jpg, result=true
[ AI-Rank-Log  1/31 20:59:46.396 ]sampleid: 000000013348.jpg, result=true
[ AI-Rank-Log  1/31 20:59:46.557 ]sampleid: 000000013546.jpg, result=true
[ AI-Rank-Log  1/31 20:59:46.684 ]sampleid: 000000013597.jpg, result=true
[ AI-Rank-Log  1/31 20:59:46.904 ]sampleid: 000000013659.jpg, result=true
[ AI-Rank-Log  1/31 20:59:47. 69 ]sampleid: 000000013729.jpg, result=true
[ AI-Rank-Log  1/31 20:59:47.222 ]sampleid: 000000013774.jpg, result=true
[ AI-Rank-Log  1/31 20:59:47.425 ]sampleid: 000000013923.jpg, result=true
[ AI-Rank-Log  1/31 20:59:47.652 ]sampleid: 000000014007.jpg, result=true
[ AI-Rank-Log  1/31 20:59:47.880 ]sampleid: 000000014038.jpg, result=true
[ AI-Rank-Log  1/31 20:59:48.  5 ]sampleid: 000000014226.jpg, result=true
[ AI-Rank-Log  1/31 20:59:48.169 ]sampleid: 000000014380.jpg, result=true
[ AI-Rank-Log  1/31 20:59:48.400 ]sampleid: 000000014439.jpg, result=true
[ AI-Rank-Log  1/31 20:59:48.630 ]sampleid: 000000014473.jpg, result=true
[ AI-Rank-Log  1/31 20:59:48.862 ]sampleid: 000000014831.jpg, result=true
[ AI-Rank-Log  1/31 20:59:49. 94 ]sampleid: 000000014888.jpg, result=true
[ AI-Rank-Log  1/31 20:59:49.214 ]sampleid: 000000015079.jpg, result=true
[ AI-Rank-Log  1/31 20:59:49.358 ]sampleid: 000000015254.jpg, result=true
