[ AI-Rank-Log  4/ 7 14:29:16.191 ]load_data, checksum: 442b8da7639aecaf257c1dceb8ba8c8
[ AI-Rank-Log  4/ 7 14:29:18. 77 ]XNNPACK delegate is created.
[ AI-Rank-Log  4/ 7 14:29:18. 99 ]test_begin
[ AI-Rank-Log  4/ 7 14:29:18.181 ]sampleid: 000000000139.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:18.263 ]sampleid: 000000000285.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:18.336 ]sampleid: 000000000632.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:18.405 ]sampleid: 000000000724.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:18.482 ]sampleid: 000000000776.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:18.559 ]sampleid: 000000000785.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:18.634 ]sampleid: 000000000802.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:18.713 ]sampleid: 000000000872.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:18.789 ]sampleid: 000000000885.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:18.871 ]sampleid: 000000001000.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:18.950 ]sampleid: 000000001268.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:19. 22 ]sampleid: 000000001296.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:19. 94 ]sampleid: 000000001353.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:19.169 ]sampleid: 000000001425.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:19.242 ]sampleid: 000000001490.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:19.308 ]sampleid: 000000001503.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:19.387 ]sampleid: 000000001532.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:19.463 ]sampleid: 000000001584.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:19.540 ]sampleid: 000000001675.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:19.612 ]sampleid: 000000001761.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:19.691 ]sampleid: 000000001818.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:19.767 ]sampleid: 000000001993.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:19.846 ]sampleid: 000000002006.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:19.919 ]sampleid: 000000002149.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:19.994 ]sampleid: 000000002153.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:20. 66 ]sampleid: 000000002157.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:20.147 ]sampleid: 000000002261.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:20.218 ]sampleid: 000000002299.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:20.291 ]sampleid: 000000002431.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:20.371 ]sampleid: 000000002473.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:20.458 ]sampleid: 000000002532.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:20.530 ]sampleid: 000000002587.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:20.609 ]sampleid: 000000002592.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:20.688 ]sampleid: 000000002685.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:20.761 ]sampleid: 000000002923.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:20.835 ]sampleid: 000000003156.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:20.913 ]sampleid: 000000003255.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:20.989 ]sampleid: 000000003501.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:21. 70 ]sampleid: 000000003553.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:21.146 ]sampleid: 000000003661.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:21.221 ]sampleid: 000000003845.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:21.296 ]sampleid: 000000003934.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:21.370 ]sampleid: 000000004134.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:21.446 ]sampleid: 000000004395.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:21.521 ]sampleid: 000000004495.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:21.605 ]sampleid: 000000004765.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:21.688 ]sampleid: 000000004795.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:21.773 ]sampleid: 000000005001.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:21.852 ]sampleid: 000000005037.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:21.941 ]sampleid: 000000005060.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:22. 26 ]sampleid: 000000005193.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:22.109 ]sampleid: 000000005477.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:22.184 ]sampleid: 000000005503.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:22.275 ]sampleid: 000000005529.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:22.351 ]sampleid: 000000005586.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:22.430 ]sampleid: 000000005600.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:22.518 ]sampleid: 000000005992.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:22.604 ]sampleid: 000000006012.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:22.686 ]sampleid: 000000006040.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:22.767 ]sampleid: 000000006213.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:22.851 ]sampleid: 000000006460.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:22.928 ]sampleid: 000000006471.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:23.  9 ]sampleid: 000000006614.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:23. 99 ]sampleid: 000000006723.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:23.175 ]sampleid: 000000006763.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:23.254 ]sampleid: 000000006771.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:23.336 ]sampleid: 000000006818.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:23.416 ]sampleid: 000000006894.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:23.501 ]sampleid: 000000006954.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:23.587 ]sampleid: 000000007088.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:23.678 ]sampleid: 000000007108.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:23.767 ]sampleid: 000000007278.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:23.858 ]sampleid: 000000007281.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:23.939 ]sampleid: 000000007386.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:24. 23 ]sampleid: 000000007511.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:24.113 ]sampleid: 000000007574.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:24.192 ]sampleid: 000000007784.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:24.279 ]sampleid: 000000007795.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:24.366 ]sampleid: 000000007816.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:24.458 ]sampleid: 000000007818.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:24.541 ]sampleid: 000000007888.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:24.625 ]sampleid: 000000007977.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:24.717 ]sampleid: 000000007991.jpg, result=true
