[ AI-Rank-Log  4/ 7 11:57:35.171 ]load_data, checksum: 442b8da7639aecaf257c1dceb8ba8c8
[ AI-Rank-Log  4/ 7 11:57:37. 34 ]GPU delegate is created.
ERROR: Following operations are not supported by GPU delegate:
CUSTOM TFLite_Detection_PostProcess: TFLite_Detection_PostProcess
181 operations will run on the GPU, and the remaining 1 operations will run on the CPU.
INFO: Initialized OpenCL-based API.
[ AI-Rank-Log  4/ 7 11:57:38.799 ]test_begin
[ AI-Rank-Log  4/ 7 11:57:38.843 ]sampleid: 000000000139.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:38.910 ]sampleid: 000000000285.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:38.975 ]sampleid: 000000000632.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:39. 30 ]sampleid: 000000000724.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:39. 89 ]sampleid: 000000000776.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:39.148 ]sampleid: 000000000785.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:39.219 ]sampleid: 000000000802.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:39.291 ]sampleid: 000000000872.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:39.353 ]sampleid: 000000000885.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:39.429 ]sampleid: 000000001000.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:39.495 ]sampleid: 000000001268.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:39.563 ]sampleid: 000000001296.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:39.622 ]sampleid: 000000001353.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:39.691 ]sampleid: 000000001425.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:39.751 ]sampleid: 000000001490.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:39.813 ]sampleid: 000000001503.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:39.887 ]sampleid: 000000001532.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:39.962 ]sampleid: 000000001584.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:40. 27 ]sampleid: 000000001675.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:40. 92 ]sampleid: 000000001761.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:40.152 ]sampleid: 000000001818.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:40.213 ]sampleid: 000000001993.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:40.284 ]sampleid: 000000002006.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:40.349 ]sampleid: 000000002149.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:40.423 ]sampleid: 000000002153.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:40.488 ]sampleid: 000000002157.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:40.569 ]sampleid: 000000002261.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:40.636 ]sampleid: 000000002299.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:40.707 ]sampleid: 000000002431.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:40.777 ]sampleid: 000000002473.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:40.851 ]sampleid: 000000002532.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:40.926 ]sampleid: 000000002587.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:40.990 ]sampleid: 000000002592.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:41. 68 ]sampleid: 000000002685.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:41.140 ]sampleid: 000000002923.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:41.208 ]sampleid: 000000003156.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:41.283 ]sampleid: 000000003255.jpg, result=true
