[ AI-Rank-Log  4/ 7  9:30:33.436 ]load_data, checksum: 442b8da7639aecaf257c1dceb8ba8c8
[ AI-Rank-Log  4/ 7  9:30:35. 47 ]GPU delegate is created.
ERROR: Following operations are not supported by GPU delegate:
CUSTOM TFLite_Detection_PostProcess: TFLite_Detection_PostProcess
181 operations will run on the GPU, and the remaining 1 operations will run on the CPU.
INFO: Initialized OpenCL-based API.
[ AI-Rank-Log  4/ 7  9:30:35.996 ]test_begin
[ AI-Rank-Log  4/ 7  9:30:36. 47 ]sampleid: 000000000139.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:36. 99 ]sampleid: 000000000285.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:36.149 ]sampleid: 000000000632.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:36.202 ]sampleid: 000000000724.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:36.258 ]sampleid: 000000000776.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:36.304 ]sampleid: 000000000785.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:36.350 ]sampleid: 000000000802.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:36.413 ]sampleid: 000000000872.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:36.468 ]sampleid: 000000000885.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:36.536 ]sampleid: 000000001000.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:36.593 ]sampleid: 000000001268.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:36.643 ]sampleid: 000000001296.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:36.695 ]sampleid: 000000001353.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:36.751 ]sampleid: 000000001425.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:36.805 ]sampleid: 000000001490.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:36.851 ]sampleid: 000000001503.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:36.914 ]sampleid: 000000001532.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:36.973 ]sampleid: 000000001584.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:37. 30 ]sampleid: 000000001675.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:37. 83 ]sampleid: 000000001761.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:37.145 ]sampleid: 000000001818.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:37.205 ]sampleid: 000000001993.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:37.268 ]sampleid: 000000002006.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:37.320 ]sampleid: 000000002149.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:37.382 ]sampleid: 000000002153.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:37.444 ]sampleid: 000000002157.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:37.510 ]sampleid: 000000002261.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:37.564 ]sampleid: 000000002299.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:37.625 ]sampleid: 000000002431.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:37.685 ]sampleid: 000000002473.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:37.752 ]sampleid: 000000002532.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:37.811 ]sampleid: 000000002587.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:37.872 ]sampleid: 000000002592.jpg, result=true
