- AI-Rank-log 1621084603.046 load_data, checksum:234584
video number:19760
group: first_conv_weight has 1 params, lr_mult: 1, decay_mult: 1
group: first_conv_bias has 0 params, lr_mult: 2, decay_mult: 0
group: normal_weight has 52 params, lr_mult: 1, decay_mult: 1
group: normal_bias has 0 params, lr_mult: 2, decay_mult: 0
group: BN scale/shift has 106 params, lr_mult: 1, decay_mult: 0
group: custom_ops has 0 params, lr_mult: 1, decay_mult: 1
group: lr5_weight has 1 params, lr_mult: 5, decay_mult: 1
group: lr10_bias has 1 params, lr_mult: 10, decay_mult: 0
video number:19760
group: first_conv_weight has 1 params, lr_mult: 1, decay_mult: 1
group: first_conv_bias has 0 params, lr_mult: 2, decay_mult: 0
group: normal_weight has 52 params, lr_mult: 1, decay_mult: 1
group: normal_bias has 0 params, lr_mult: 2, decay_mult: 0
group: BN scale/shift has 106 params, lr_mult: 1, decay_mult: 0
group: custom_ops has 0 params, lr_mult: 1, decay_mult: 1
group: lr5_weight has 1 params, lr_mult: 5, decay_mult: 1
group: lr10_bias has 1 params, lr_mult: 10, decay_mult: 0
video number:19760
group: first_conv_weight has 1 params, lr_mult: 1, decay_mult: 1
group: first_conv_bias has 0 params, lr_mult: 2, decay_mult: 0
group: normal_weight has 52 params, lr_mult: 1, decay_mult: 1
group: normal_bias has 0 params, lr_mult: 2, decay_mult: 0
group: BN scale/shift has 106 params, lr_mult: 1, decay_mult: 0
group: custom_ops has 0 params, lr_mult: 1, decay_mult: 1
group: lr5_weight has 1 params, lr_mult: 5, decay_mult: 1
group: lr10_bias has 1 params, lr_mult: 10, decay_mult: 0
video number:19760
group: first_conv_weight has 1 params, lr_mult: 1, decay_mult: 1
group: first_conv_bias has 0 params, lr_mult: 2, decay_mult: 0
group: normal_weight has 52 params, lr_mult: 1, decay_mult: 1
group: normal_bias has 0 params, lr_mult: 2, decay_mult: 0
group: BN scale/shift has 106 params, lr_mult: 1, decay_mult: 0
group: custom_ops has 0 params, lr_mult: 1, decay_mult: 1
group: lr5_weight has 1 params, lr_mult: 5, decay_mult: 1
group: lr10_bias has 1 params, lr_mult: 10, decay_mult: 0
video number:19760
group: first_conv_weight has 1 params, lr_mult: 1, decay_mult: 1
group: first_conv_bias has 0 params, lr_mult: 2, decay_mult: 0
group: normal_weight has 52 params, lr_mult: 1, decay_mult: 1
group: normal_bias has 0 params, lr_mult: 2, decay_mult: 0
group: BN scale/shift has 106 params, lr_mult: 1, decay_mult: 0
group: custom_ops has 0 params, lr_mult: 1, decay_mult: 1
group: lr5_weight has 1 params, lr_mult: 5, decay_mult: 1
group: lr10_bias has 1 params, lr_mult: 10, decay_mult: 0
video number:19760
video number:19760
video number:19760
group: first_conv_weight has 1 params, lr_mult: 1, decay_mult: 1
group: first_conv_bias has 0 params, lr_mult: 2, decay_mult: 0
group: normal_weight has 52 params, lr_mult: 1, decay_mult: 1
group: normal_bias has 0 params, lr_mult: 2, decay_mult: 0
group: BN scale/shift has 106 params, lr_mult: 1, decay_mult: 0
group: custom_ops has 0 params, lr_mult: 1, decay_mult: 1
group: lr5_weight has 1 params, lr_mult: 5, decay_mult: 1
group: lr10_bias has 1 params, lr_mult: 10, decay_mult: 0
group: first_conv_weight has 1 params, lr_mult: 1, decay_mult: 1
group: first_conv_bias has 0 params, lr_mult: 2, decay_mult: 0
group: normal_weight has 52 params, lr_mult: 1, decay_mult: 1
group: normal_bias has 0 params, lr_mult: 2, decay_mult: 0
group: BN scale/shift has 106 params, lr_mult: 1, decay_mult: 0
group: custom_ops has 0 params, lr_mult: 1, decay_mult: 1
group: lr5_weight has 1 params, lr_mult: 5, decay_mult: 1
group: lr10_bias has 1 params, lr_mult: 10, decay_mult: 0
group: first_conv_weight has 1 params, lr_mult: 1, decay_mult: 1
group: first_conv_bias has 0 params, lr_mult: 2, decay_mult: 0
group: normal_weight has 52 params, lr_mult: 1, decay_mult: 1
group: normal_bias has 0 params, lr_mult: 2, decay_mult: 0
group: BN scale/shift has 106 params, lr_mult: 1, decay_mult: 0
group: custom_ops has 0 params, lr_mult: 1, decay_mult: 1
group: lr5_weight has 1 params, lr_mult: 5, decay_mult: 1
group: lr10_bias has 1 params, lr_mult: 10, decay_mult: 0
- AI-Rank-log 1621084603.190 test_begin
Epoch: [0][0/1832], lr: 0.02000	Time 3.627 (3.627)	Data 1.087 (1.087)	Loss 5.9942 (5.9942)	Prec@1 0.000 (0.000)	Prec@5 0.781 (0.781)	2021-05-15 21:16:46.818481
Epoch: [0][20/1832], lr: 0.02000	Time 0.344 (0.490)	Data 0.000 (0.052)	Loss 6.2899 (6.1238)	Prec@1 6.250 (2.344)	Prec@5 14.062 (6.399)	2021-05-15 21:16:53.484392
Epoch: [0][40/1832], lr: 0.02000	Time 0.334 (0.413)	Data 0.000 (0.027)	Loss 4.8738 (5.7974)	Prec@1 7.031 (4.802)	Prec@5 16.406 (12.138)	2021-05-15 21:17:00.133566
Epoch: [0][60/1832], lr: 0.02000	Time 0.333 (0.387)	Data 0.000 (0.018)	Loss 5.2582 (5.4690)	Prec@1 9.375 (6.122)	Prec@5 21.094 (16.701)	2021-05-15 21:17:06.772187
Epoch: [0][80/1832], lr: 0.02000	Time 0.333 (0.373)	Data 0.000 (0.014)	Loss 3.9871 (5.2685)	Prec@1 14.062 (7.909)	Prec@5 30.469 (20.042)	2021-05-15 21:17:13.411373
Epoch: [0][100/1832], lr: 0.02000	Time 0.332 (0.365)	Data 0.000 (0.011)	Loss 4.4062 (5.1066)	Prec@1 18.750 (9.073)	Prec@5 42.969 (22.509)	2021-05-15 21:17:20.042043
Epoch: [0][120/1832], lr: 0.02000	Time 0.327 (0.359)	Data 0.000 (0.009)	Loss 4.5954 (4.9506)	Prec@1 9.375 (10.253)	Prec@5 29.688 (24.793)	2021-05-15 21:17:26.675269
Epoch: [0][140/1832], lr: 0.02000	Time 0.334 (0.355)	Data 0.000 (0.008)	Loss 4.2543 (4.8259)	Prec@1 23.438 (11.364)	Prec@5 40.625 (26.607)	2021-05-15 21:17:33.308659
Epoch: [0][160/1832], lr: 0.02000	Time 0.334 (0.353)	Data 0.000 (0.007)	Loss 3.1560 (4.6986)	Prec@1 17.188 (12.054)	Prec@5 46.875 (28.174)	2021-05-15 21:17:39.953760
Epoch: [0][180/1832], lr: 0.02000	Time 0.332 (0.350)	Data 0.000 (0.006)	Loss 4.0845 (4.6347)	Prec@1 21.875 (12.815)	Prec@5 44.531 (29.558)	2021-05-15 21:17:46.599617
Epoch: [0][200/1832], lr: 0.02000	Time 0.335 (0.348)	Data 0.000 (0.006)	Loss 4.1101 (4.5714)	Prec@1 16.406 (13.518)	Prec@5 39.062 (30.881)	2021-05-15 21:17:53.235088
Epoch: [0][220/1832], lr: 0.02000	Time 0.339 (0.347)	Data 0.000 (0.005)	Loss 3.4241 (4.4962)	Prec@1 29.688 (14.299)	Prec@5 53.906 (32.187)	2021-05-15 21:17:59.876399
Epoch: [0][240/1832], lr: 0.02000	Time 0.333 (0.346)	Data 0.000 (0.005)	Loss 4.5024 (4.4290)	Prec@1 16.406 (14.928)	Prec@5 37.500 (33.273)	2021-05-15 21:18:06.530674
Epoch: [0][260/1832], lr: 0.02000	Time 0.330 (0.345)	Data 0.000 (0.004)	Loss 2.8958 (4.3867)	Prec@1 24.219 (15.377)	Prec@5 47.656 (34.273)	2021-05-15 21:18:13.156550
Epoch: [0][280/1832], lr: 0.02000	Time 0.333 (0.344)	Data 0.000 (0.004)	Loss 3.8105 (4.3402)	Prec@1 21.875 (15.948)	Prec@5 42.969 (35.159)	2021-05-15 21:18:19.800935
Epoch: [0][300/1832], lr: 0.02000	Time 0.334 (0.343)	Data 0.000 (0.004)	Loss 3.0991 (4.3149)	Prec@1 20.312 (16.289)	Prec@5 39.062 (35.849)	2021-05-15 21:18:26.435849
Epoch: [0][320/1832], lr: 0.02000	Time 0.327 (0.342)	Data 0.000 (0.004)	Loss 3.1593 (4.2779)	Prec@1 32.031 (16.696)	Prec@5 54.688 (36.519)	2021-05-15 21:18:33.061052
Epoch: [0][340/1832], lr: 0.02000	Time 0.332 (0.342)	Data 0.000 (0.003)	Loss 3.4307 (4.2330)	Prec@1 30.469 (17.114)	Prec@5 46.875 (37.175)	2021-05-15 21:18:39.695979
Epoch: [0][360/1832], lr: 0.02000	Time 0.337 (0.341)	Data 0.000 (0.003)	Loss 3.0863 (4.1999)	Prec@1 22.656 (17.536)	Prec@5 53.125 (37.846)	2021-05-15 21:18:46.330346
Epoch: [0][380/1832], lr: 0.02000	Time 0.332 (0.341)	Data 0.000 (0.003)	Loss 3.2470 (4.1788)	Prec@1 24.219 (17.903)	Prec@5 44.531 (38.468)	2021-05-15 21:18:52.949608
Epoch: [0][400/1832], lr: 0.02000	Time 0.329 (0.340)	Data 0.000 (0.003)	Loss 4.1975 (4.1403)	Prec@1 26.562 (18.247)	Prec@5 49.219 (39.123)	2021-05-15 21:18:59.563371
