Namespace(amp=False, batch_size=8, data_shape=416, dataset='coco', epochs=1, gpus='0', horovod=False, label_smooth=True, log_interval=10, lr=0.001, lr_decay=0.1, lr_decay_epoch='220,250', lr_decay_period=0, lr_mode='step', mixup=True, momentum=0.9, network='darknet53', no_mixup_epochs=20, no_random_shape=False, no_wd=True, num_samples=117266, num_workers=8, resume='', save_interval=10, save_prefix='log/yolo3_darknet53_coco', seed=233, start_epoch=0, syncbn=False, val_interval=1, warmup_epochs=2, warmup_lr=0.0, wd=0.0005)
Start training from [Epoch 0]
AI-Rank-log [Epoch 0][Batch 9], LR: 3.41E-07, Speed: 49.591 samples/sec, ObjLoss=6561.729, BoxCenterLoss=15.445, BoxScaleLoss=16.326, ClassLoss=303.936
AI-Rank-log [Epoch 0][Batch 19], LR: 6.82E-07, Speed: 34.874 samples/sec, ObjLoss=6903.885, BoxCenterLoss=18.227, BoxScaleLoss=18.591, ClassLoss=359.692
AI-Rank-log [Epoch 0][Batch 29], LR: 1.02E-06, Speed: 49.980 samples/sec, ObjLoss=5249.990, BoxCenterLoss=17.995, BoxScaleLoss=17.819, ClassLoss=355.846
AI-Rank-log [Epoch 0][Batch 39], LR: 1.36E-06, Speed: 38.593 samples/sec, ObjLoss=4230.188, BoxCenterLoss=18.586, BoxScaleLoss=18.469, ClassLoss=370.414
AI-Rank-log [Epoch 0][Batch 49], LR: 1.71E-06, Speed: 21.255 samples/sec, ObjLoss=3582.853, BoxCenterLoss=18.881, BoxScaleLoss=18.560, ClassLoss=375.617
AI-Rank-log [Epoch 0][Batch 59], LR: 2.05E-06, Speed: 54.696 samples/sec, ObjLoss=3017.155, BoxCenterLoss=18.821, BoxScaleLoss=18.404, ClassLoss=374.670
AI-Rank-log [Epoch 0][Batch 69], LR: 2.39E-06, Speed: 20.140 samples/sec, ObjLoss=2634.804, BoxCenterLoss=19.700, BoxScaleLoss=19.140, ClassLoss=393.144
AI-Rank-log [Epoch 0][Batch 79], LR: 2.73E-06, Speed: 62.303 samples/sec, ObjLoss=2316.199, BoxCenterLoss=19.208, BoxScaleLoss=18.569, ClassLoss=383.328
AI-Rank-log [Epoch 0][Batch 89], LR: 3.07E-06, Speed: 39.470 samples/sec, ObjLoss=2074.288, BoxCenterLoss=19.429, BoxScaleLoss=18.781, ClassLoss=386.487
AI-Rank-log [Epoch 0][Batch 99], LR: 3.41E-06, Speed: 38.783 samples/sec, ObjLoss=1877.943, BoxCenterLoss=19.280, BoxScaleLoss=18.595, ClassLoss=382.679
AI-Rank-log [Epoch 0][Batch 109], LR: 3.75E-06, Speed: 20.738 samples/sec, ObjLoss=1721.479, BoxCenterLoss=19.151, BoxScaleLoss=18.358, ClassLoss=379.454
AI-Rank-log [Epoch 0][Batch 119], LR: 4.09E-06, Speed: 56.288 samples/sec, ObjLoss=1583.382, BoxCenterLoss=18.843, BoxScaleLoss=17.979, ClassLoss=372.862
AI-Rank-log [Epoch 0][Batch 129], LR: 4.43E-06, Speed: 52.003 samples/sec, ObjLoss=1465.931, BoxCenterLoss=18.424, BoxScaleLoss=17.432, ClassLoss=364.262
AI-Rank-log [Epoch 0][Batch 139], LR: 4.78E-06, Speed: 48.617 samples/sec, ObjLoss=1365.843, BoxCenterLoss=18.273, BoxScaleLoss=17.120, ClassLoss=360.440
AI-Rank-log [Epoch 0][Batch 149], LR: 5.12E-06, Speed: 23.276 samples/sec, ObjLoss=1281.281, BoxCenterLoss=18.027, BoxScaleLoss=16.932, ClassLoss=355.072
AI-Rank-log [Epoch 0][Batch 159], LR: 5.46E-06, Speed: 49.696 samples/sec, ObjLoss=1204.895, BoxCenterLoss=17.921, BoxScaleLoss=16.734, ClassLoss=351.939
AI-Rank-log [Epoch 0][Batch 169], LR: 5.80E-06, Speed: 49.197 samples/sec, ObjLoss=1137.527, BoxCenterLoss=17.914, BoxScaleLoss=16.622, ClassLoss=350.596
AI-Rank-log [Epoch 0][Batch 179], LR: 6.14E-06, Speed: 20.609 samples/sec, ObjLoss=1079.382, BoxCenterLoss=17.893, BoxScaleLoss=16.505, ClassLoss=349.133
AI-Rank-log [Epoch 0][Batch 189], LR: 6.48E-06, Speed: 21.129 samples/sec, ObjLoss=1027.088, BoxCenterLoss=17.953, BoxScaleLoss=16.458, ClassLoss=348.879
AI-Rank-log [Epoch 0][Batch 199], LR: 6.82E-06, Speed: 20.759 samples/sec, ObjLoss=979.744, BoxCenterLoss=17.996, BoxScaleLoss=16.391, ClassLoss=347.810
AI-Rank-log [Epoch 0][Batch 209], LR: 7.16E-06, Speed: 38.168 samples/sec, ObjLoss=935.865, BoxCenterLoss=17.990, BoxScaleLoss=16.309, ClassLoss=346.262
AI-Rank-log [Epoch 0][Batch 219], LR: 7.50E-06, Speed: 39.018 samples/sec, ObjLoss=895.706, BoxCenterLoss=17.862, BoxScaleLoss=16.122, ClassLoss=342.996
AI-Rank-log [Epoch 0][Batch 229], LR: 7.85E-06, Speed: 35.097 samples/sec, ObjLoss=859.210, BoxCenterLoss=17.820, BoxScaleLoss=16.003, ClassLoss=340.621
AI-Rank-log [Epoch 0][Batch 239], LR: 8.19E-06, Speed: 50.263 samples/sec, ObjLoss=825.458, BoxCenterLoss=17.771, BoxScaleLoss=15.885, ClassLoss=338.000
AI-Rank-log [Epoch 0][Batch 249], LR: 8.53E-06, Speed: 32.684 samples/sec, ObjLoss=794.497, BoxCenterLoss=17.630, BoxScaleLoss=15.715, ClassLoss=333.949
AI-Rank-log [Epoch 0][Batch 259], LR: 8.87E-06, Speed: 61.464 samples/sec, ObjLoss=765.769, BoxCenterLoss=17.616, BoxScaleLoss=15.634, ClassLoss=332.125
AI-Rank-log [Epoch 0][Batch 269], LR: 9.21E-06, Speed: 36.052 samples/sec, ObjLoss=739.695, BoxCenterLoss=17.686, BoxScaleLoss=15.599, ClassLoss=331.114
AI-Rank-log [Epoch 0][Batch 279], LR: 9.55E-06, Speed: 20.587 samples/sec, ObjLoss=715.929, BoxCenterLoss=17.778, BoxScaleLoss=15.600, ClassLoss=329.807
AI-Rank-log [Epoch 0][Batch 289], LR: 9.89E-06, Speed: 32.233 samples/sec, ObjLoss=693.388, BoxCenterLoss=17.858, BoxScaleLoss=15.575, ClassLoss=328.588
AI-Rank-log [Epoch 0][Batch 299], LR: 1.02E-05, Speed: 61.091 samples/sec, ObjLoss=671.814, BoxCenterLoss=17.798, BoxScaleLoss=15.487, ClassLoss=324.879
AI-Rank-log [Epoch 0][Batch 309], LR: 1.06E-05, Speed: 35.976 samples/sec, ObjLoss=652.213, BoxCenterLoss=17.859, BoxScaleLoss=15.454, ClassLoss=322.384
AI-Rank-log [Epoch 0][Batch 319], LR: 1.09E-05, Speed: 22.943 samples/sec, ObjLoss=633.671, BoxCenterLoss=17.780, BoxScaleLoss=15.341, ClassLoss=318.098
AI-Rank-log [Epoch 0][Batch 329], LR: 1.13E-05, Speed: 57.543 samples/sec, ObjLoss=615.841, BoxCenterLoss=17.727, BoxScaleLoss=15.237, ClassLoss=314.433
AI-Rank-log [Epoch 0][Batch 339], LR: 1.16E-05, Speed: 26.788 samples/sec, ObjLoss=599.395, BoxCenterLoss=17.668, BoxScaleLoss=15.160, ClassLoss=309.858
AI-Rank-log [Epoch 0][Batch 349], LR: 1.19E-05, Speed: 42.539 samples/sec, ObjLoss=583.735, BoxCenterLoss=17.623, BoxScaleLoss=15.070, ClassLoss=305.939
AI-Rank-log [Epoch 0][Batch 359], LR: 1.23E-05, Speed: 53.453 samples/sec, ObjLoss=568.859, BoxCenterLoss=17.573, BoxScaleLoss=14.999, ClassLoss=301.695
AI-Rank-log [Epoch 0][Batch 369], LR: 1.26E-05, Speed: 54.258 samples/sec, ObjLoss=554.753, BoxCenterLoss=17.542, BoxScaleLoss=14.911, ClassLoss=297.932
AI-Rank-log [Epoch 0][Batch 379], LR: 1.30E-05, Speed: 40.823 samples/sec, ObjLoss=541.488, BoxCenterLoss=17.514, BoxScaleLoss=14.851, ClassLoss=294.169
AI-Rank-log [Epoch 0][Batch 389], LR: 1.33E-05, Speed: 55.465 samples/sec, ObjLoss=528.896, BoxCenterLoss=17.534, BoxScaleLoss=14.819, ClassLoss=290.627
AI-Rank-log [Epoch 0][Batch 399], LR: 1.36E-05, Speed: 29.487 samples/sec, ObjLoss=517.045, BoxCenterLoss=17.505, BoxScaleLoss=14.746, ClassLoss=286.554
AI-Rank-log [Epoch 0][Batch 409], LR: 1.40E-05, Speed: 53.029 samples/sec, ObjLoss=505.634, BoxCenterLoss=17.534, BoxScaleLoss=14.717, ClassLoss=283.426
